,Name,Key
0,Community 2,64963
1,Community 3,4343
2,Community 4,9401
3,Community 5,4914
4,Community 6,2100
5,Community 7,5578
6,Community 8,3191
7,Community 9,25776
8,Community 10,C0033578
9,Community 12,3329
10,Community 13,3065
11,Community 14,6118
12,Community 15,10992
13,Community 17,7514
14,Community 18,C0014544
15,Community 19,C0011581
16,Community 20,6598
