,Name,Count
0,Community 2,4
1,Community 4,1
2,Community 5,2
3,Community 6,2
4,Community 8,4
5,Community 9,3
6,Community 10,1
7,Community 11,1
8,Community 12,2
9,Community 13,1
10,Community 14,2
11,Community 15,2
12,Community 16,2
13,Community 17,1
14,Community 18,3
15,Community 19,3
16,Community 20,1
17,Community 22,1
18,Community 23,4
