lasofoxifene_mod
64963-2100
4343-2100
9401-2099
9401-2100
4914-2099
4914-2100
2100-2099
2100-2100
5578-2099
3191-2100
25776-2100
25776-GO:0045892
C0033578-GO:0051091
C0033578-GO:0045944
C0033578-GO:0010629
3329-2099
3329-2100
3065-GO:0000122
3065-GO:0045892
6118-2099
6118-2100
6118-GO:0045893
6118-GO:0045944
6118-GO:0045899
10992-2099
10992-2100
7514-2100
C0014544-GO:0043433
C0011581-GO:0007204
C0011581-GO:0051091
6598-2099
6598-2100
6598-GO:0000122
6598-GO:0045893
6598-GO:0051091
6598-GO:0045944
6598-GO:0006366
6598-GO:0071392
6598-GO:0043433
