AML_mod
3265-3845
64963-4609
64963-6774
64963-4869
64963-3315
4343-4609
4343-4869
4343-3845
4343-3315
4343-10919
9401-4609
9401-6774
9401-302
9401-4869
9401-11168
9401-3845
4914-4609
4914-6774
4914-302
4914-4869
4914-3845
4914-3315
4914-861
2100-4609
2100-4869
2100-11168
2100-861
5578-6774
5578-302
5578-4869
5578-3315
3191-4609
25776-GO:0045892
25776-4609
25776-3845
25776-3315
C0033578-C0023467
C0033578-GO:0045944
C0033578-6774
7157-4609
3329-4609
3329-302
3329-4869
3329-3845
3329-3315
3329-861
3065-GO:0045892
3065-GO:0000122
3065-3417
3065-4869
3065-2672
3065-3315
3065-10919
6118-GO:0045944
6118-GO:0045893
6118-4609
6118-2623
6118-4869
6118-11168
6118-10919
6118-861
10992-4609
10992-11168
10992-3845
10992-3315
10992-861
125115-2623
125115-10919
7514-C0023467
7514-4609
7514-3315
7514-861
C0014544-3417
C0014544-2672
C0014544-3315
C0011581-2624
6598-GO:0045944
6598-GO:0045893
6598-GO:0000122
6598-4609
6598-2623
6598-6688
6598-11168
6598-3315
6598-10919
6598-861
