AML_coh
6135-4609
6135-302
6135-4869
6135-11168
6135-3845
4914-4609
4914-4869
4914-3315
4914-861
112399-10919
64963-4869
64963-3315
200728-3845
9343-4609
9343-302
9343-4869
9343-3845
9343-3315
9343-861
25776-GO:0045892
25776-4609
25776-3845
25776-3315
10992-4609
10992-11168
10992-3845
10992-3315
10992-861
7157-C0023467
7157-GO:0045892
7157-4609
7157-4869
7157-11168
7157-C0023467
7157-GO:0045893
7157-GO:0045892
7157-GO:0000122
7157-4609
7157-2624
7157-3315
7157-10919
11335-GO:0045892
11335-4609
11335-3417
11335-4869
11335-2672
11335-3315
11335-10919
8517-GO:0045944
8517-4609
8517-64324
8517-861
4627-4609
4627-302
4627-3845
86-GO:0045944
86-GO:0045893
86-GO:0045892
86-GO:0000122
86-4609
86-2623
86-6688
86-11168
86-3315
86-10919
86-861
5987-C0023467
5987-2623
5987-10919
3320-GO:0045944
3320-3315
C0011581-C0023467
C0011581-GO:0045893
C0011581-6774
C0011581-2623
C0011581-2624
3178-GO:0045944
351-C0023467
351-4609
351-6774
351-3845
6117-GO:0045944
6117-GO:0045893
6117-4609
6117-864
6117-2623
6117-4869
6117-11168
6117-3315
6117-10919
6117-861
