,Name,Count
0,Community 2,4
1,Community 3,2
2,Community 5,2
3,Community 7,2
4,Community 8,5
5,Community 9,4
6,Community 10,1
7,Community 11,2
8,Community 12,6
9,Community 13,2
10,Community 14,2
11,Community 15,2
12,Community 16,6
13,Community 17,1
14,Community 18,10
15,Community 19,3
16,Community 20,3
17,Community 21,1
18,Community 22,1
19,Community 23,6
