lasofoxifene_coh
6135-2099
4914-2099
4914-2100
112399-2100
64963-2100
10980-GO:0007204
200728-2100
9343-2099
9343-2100
25776-2100
25776-GO:0045892
10992-2100
7157-2099
7157-GO:0045892
715712-2099
715712-GO:0000122
715712-GO:0045893
715712-GO:0045892
11335-GO:0010629
11335-GO:0045892
8517-2099
8517-2100
8517-GO:0045944
8517-GO:0006366
4627-2099
4627-2100
86-2099
86-2100
86-GO:0000122
86-GO:0045893
86-GO:0051091
86-GO:0045944
86-GO:0006366
86-GO:0071392
86-GO:0045899
86-GO:0045892
3320-2099
3320-GO:0051091
3320-GO:0045944
C0011581-DB06202
C0011581-GO:0045893
C0011581-GO:0051091
C0011581-GO:0010629
3178-GO:0045944
3178-GO:0010629
6117-2099
6117-2100
6117-GO:0045893
6117-GO:0045944
