zinc_coh
6135-2335
6135-7157
6135-348
6135-388697
112399-7157
64963-351
64963-7157
10980-7157
10980-333
9343-DB01593
9343-2335
9343-1191
9343-7157
25776-3507
25776-1191
25776-388697
10992-2335
7157-7157
715712-1191
715712-7157
11335-DB01593
8517-1191
8517-GO:0045944
4627-2335
4627-7157
86-7157
86-GO:0045944
5987-351
3320-1191
3320-733
3320-GO:0045944
C0011581-DB01593
C0011581-1191
C0011581-2
3178-GO:0045944
351-351
6117-718
6117-1191
6117-7157
6117-GO:0045944
