zinc_mod
3265-351
64963-2335
64963-351
64963-7157
4343-2335
4343-351
4343-727
4343-7157
9401-2335
9401-351
9401-7157
9401-348
9401-388697
4914-2335
4914-351
4914-7157
2100-351
5578-348
3191-351
25776-351
25776-1191
25776-7157
C0033578-1191
C0033578-7157
C0033578-GO:0045944
7157-2335
7157-351
7157-1191
7157-7157
7157-2
7157-333
3329-2335
3329-1191
3329-7157
3329-348
3065-718
3065-7157
6118-718
6118-7157
6118-GO:0045944
10992-2335
10992-351
125115-351
7514-2335
7514-733
C0014544-2335
C0014544-351
C0011581-2335
C0011581-1191
6598-351
6598-7157
6598-GO:0045944
