,Name,Key
0,Community 2,6135
1,Community 4,112399
2,Community 5,64963
3,Community 6,10980
4,Community 8,9343
5,Community 9,25776
6,Community 10,10992
7,Community 11,7157
8,Community 12,715712
9,Community 13,11335
10,Community 14,8517
11,Community 15,4627
12,Community 16,86
13,Community 17,5987
14,Community 18,3320
15,Community 19,C0011581
16,Community 20,3178
17,Community 22,351
18,Community 23,6117
