,Name,Count
0,Community 2,5
1,Community 3,4
2,Community 4,1
3,Community 5,2
4,Community 7,1
5,Community 8,6
6,Community 9,4
7,Community 10,5
8,Community 11,5
9,Community 12,8
10,Community 13,7
11,Community 14,4
12,Community 15,3
13,Community 16,11
14,Community 17,3
15,Community 18,2
16,Community 19,5
17,Community 20,1
18,Community 22,4
19,Community 23,10
