fostamatinib_mod
3265-DB12010
3265-GO:0006468
3265-GO:0046777
3265-GO:0035556
3265-GO:0018108
3265-3320
3265-GO:0043066
3265-GO:0018105
3265-1956
3265-4750
3265-GO:0010628
3265-120892
3265-4914
3265-351
64963-1956
64963-120892
64963-4914
64963-351
4343-1956
4343-351
9401-3320
9401-1956
9401-GO:0010628
9401-4914
9401-351
4914-1956
4914-4914
4914-351
2100-1956
2100-GO:0043484
2100-4914
2100-351
5578-GO:0016310
5578-3320
5578-1956
3191-4914
3191-351
25776-3320
25776-1956
25776-GO:0045892
25776-4914
25776-351
C0033578-GO:0045944
C0033578-GO:0043066
C0033578-1956
C0033578-GO:0010628
7157-1956
7157-120892
7157-351
3329-3320
3329-GO:0043066
3329-1956
3329-120892
3329-4914
3065-GO:0000122
3065-GO:0045892
6118-GO:0045944
6118-GO:0045893
6118-GO:0043066
6118-1956
6118-4750
6118-4914
10992-1956
10992-4914
10992-351
125115-120892
125115-351
7514-1956
7514-GO:0010628
7514-120892
7514-4914
C0014544-1956
C0014544-351
C0011581-GO:0043066
C0011581-1956
C0011581-GO:0010628
6598-GO:0045944
6598-GO:0045893
6598-3320
6598-GO:0043066
6598-GO:0000122
6598-351
