,Name,Key
0,Community 2,6135
1,Community 3,4914
2,Community 4,112399
3,Community 5,64963
4,Community 7,200728
5,Community 8,9343
6,Community 9,25776
7,Community 10,10992
8,Community 11,7157
9,Community 12,715712
10,Community 13,11335
11,Community 14,8517
12,Community 15,4627
13,Community 16,86
14,Community 17,5987
15,Community 18,3320
16,Community 19,C0011581
17,Community 20,3178
18,Community 22,351
19,Community 23,6117
