nodes100/lasofoxifene_mod100
3265-GO:0010628
3265-351
3265-GO:0006468
3265-3312
3265-7040
3265-GO:0043066
3265-7706
3265-1956
64963-2100
64963-351
64963-7157
64963-11315
64963-7706
64963-5590
64963-1956
4343-2100
4343-351
4343-7157
4343-3312
4343-7040
4343-7706
4343-1956
9401-2099
9401-2100
9401-GO:0010628
9401-351
9401-7157
9401-GO:0008284
9401-3312
9401-7040
9401-5580
9401-7706
9401-1956
4914-2099
4914-2100
4914-351
4914-7157
4914-11315
4914-3312
4914-7040
4914-7706
4914-10513
4914-1956
2100-2099
2100-2100
2100-351
2100-GO:0045943
2100-7040
2100-7706
2100-1956
5578-2099
5578-GO:0006357
5578-3312
5578-5578
5578-5580
5578-185
5578-5584
5578-5590
5578-5583
5578-156
5578-5579
5578-1956
3191-2100
3191-351
3191-GO:0045943
3191-7706
25776-2100
25776-GO:0045892
25776-351
25776-7157
25776-3312
25776-7040
25776-7706
25776-1956
C0033578-GO:0051091
C0033578-GO:0045944
C0033578-GO:0010629
C0033578-GO:0010628
C0033578-7157
C0033578-GO:0043066
C0033578-1956
7157-351
7157-7157
7157-GO:0008284
7157-1956
3329-2099
3329-2100
3329-7157
3329-11315
3329-3312
3329-7040
3329-GO:0043066
3329-4088
3329-7706
3329-154
3329-5590
3329-1956
3065-GO:0000122
3065-GO:0045892
3065-7157
3065-9611
3065-6872
3065-3312
6118-2099
6118-2100
6118-GO:0045893
6118-GO:0045944
6118-GO:0045899
6118-GO:0006357
6118-7157
6118-GO:0043066
6118-4088
6118-GO:0030518
6118-GO:0006974
6118-2235
6118-7706
6118-1956
10992-2099
10992-2100
10992-GO:0006357
10992-351
10992-GO:0032786
10992-11315
10992-3312
10992-GO:0000398
10992-4088
10992-5580
10992-1956
125115-351
125115-10513
7514-2100
7514-GO:0010628
7514-3312
7514-7706
7514-1956
C0014544-GO:0043433
C0014544-351
C0014544-1956
C0011581-GO:0007204
C0011581-GO:0051091
C0011581-GO:0010628
C0011581-GO:0008284
C0011581-GO:0043066
C0011581-185
C0011581-1956
6598-2099
6598-2100
6598-GO:0000122
6598-GO:0045893
6598-GO:0051091
6598-GO:0045944
6598-GO:0006366
6598-GO:0071392
6598-GO:0043433
6598-GO:0043627
6598-GO:0006357
6598-GO:2000825
6598-GO:0006355
6598-351
6598-7157
6598-9611
6598-GO:0045943
6598-6872
6598-3312
6598-GO:0010768
6598-GO:0043066
6598-4088
6598-GO:0006974
6598-7706
