nodes100/zinc_mod100
3265-351
3265-4193
3265-142
64963-2335
64963-351
64963-7157
64963-7284
64963-10016
64963-4193
64963-725
64963-3728
64963-1915
4343-2335
4343-351
4343-727
4343-7157
4343-4193
4343-6647
4343-2023
4343-6280
4343-6406
4343-142
4343-1915
4343-5034
4343-5052
4343-1
4343-4255
4343-2923
9401-2335
9401-351
9401-7157
9401-348
9401-388697
9401-7284
9401-4193
9401-2023
9401-2099
9401-142
9401-3728
9401-7448
9401-1915
9401-3861
9401-9759
9401-7161
9401-5723
9401-4255
4914-2335
4914-351
4914-7157
4914-4193
4914-6647
4914-2023
4914-2099
4914-9759
4914-5052
4914-6462
4914-7161
4914-4255
4914-2923
2100-351
2100-2023
2100-2099
2100-6280
2100-142
2100-7448
5578-348
5578-10016
5578-4193
5578-2934
5578-2099
5578-1832
5578-3728
5578-226
5578-7161
5578-55869
5578-4502
5578-4255
5578-7402
5578-334
3191-351
3191-7448
25776-351
25776-1191
25776-7157
25776-9759
C0033578-1191
C0033578-7157
C0033578-GO:0045944
C0033578-7161
C0033578-1356
7157-2335
7157-351
7157-1191
7157-7157
7157-2
7157-333
7157-4193
7157-3728
7157-1915
7157-7161
7157-4502
7157-334
3329-2335
3329-1191
3329-7157
3329-348
3329-7284
3329-4193
3329-6647
3329-2023
3329-2099
3329-3728
3329-1915
3329-9759
3329-7161
3329-5265
3329-5723
3329-4255
3065-718
3065-7157
3065-142
3065-7448
3065-3065
3065-9759
3065-6278
3065-79184
3065-7161
3065-55869
3065-5723
3065-1
3065-3698
6118-718
6118-7157
6118-GO:0045944
6118-2099
6118-142
6118-1915
6118-5052
6118-79184
6118-629
6118-4255
6118-1356
10992-2335
10992-351
10992-2023
10992-2099
10992-6280
10992-7448
10992-3043
10992-1915
10992-4255
10992-7402
125115-351
7514-2335
7514-733
7514-325
7514-725
7514-5034
7514-55869
7514-5723
C0014544-2335
C0014544-351
C0014544-2923
C0011581-2335
C0011581-1191
C0011581-714
C0011581-715
C0011581-713
C0011581-716
6598-351
6598-7157
6598-GO:0045944
6598-10016
6598-3849
6598-2099
6598-722
6598-142
6598-3728
6598-7448
6598-3065
6598-7161
6598-3853
6598-3053
