,Name,Count
0,Community 1,3
1,Community 2,5
2,Community 3,2
3,Community 4,1
4,Community 5,5
5,Community 6,1
6,Community 7,2
7,Community 8,4
8,Community 9,7
9,Community 10,1
10,Community 11,2
11,Community 12,6
12,Community 13,5
13,Community 14,4
14,Community 15,2
15,Community 16,2
16,Community 17,1
17,Community 18,5
18,Community 19,2
19,Community 20,2
20,Community 21,4
21,Community 22,4
22,Community 23,6
