,Name,Count
0,Community 1,1
1,Community 2,10
2,Community 3,5
3,Community 4,6
4,Community 5,5
5,Community 6,7
6,Community 7,5
7,Community 8,12
8,Community 9,8
9,Community 10,8
10,Community 11,8
11,Community 12,12
12,Community 13,7
13,Community 14,9
14,Community 15,9
15,Community 16,24
16,Community 17,1
17,Community 18,20
18,Community 19,12
19,Community 20,5
20,Community 21,1
21,Community 22,2
22,Community 23,14
