,Name,Key
0,Community 1,3265
1,Community 2,64963
2,Community 3,4343
3,Community 4,9401
4,Community 5,4914
5,Community 6,2100
6,Community 7,5578
7,Community 8,3191
8,Community 9,25776
9,Community 10,C0033578
10,Community 11,7157
11,Community 12,3329
12,Community 13,3065
13,Community 14,6118
14,Community 15,10992
15,Community 16,125115
16,Community 17,7514
17,Community 18,C0014544
18,Community 19,C0011581
19,Community 20,6598
