nodes100/zinc_coh100
6135-2335
6135-7157
6135-348
6135-388697
6135-7284
6135-4193
6135-2023
6135-2099
6135-142
6135-3728
6135-7448
6135-1915
6135-9759
6135-7161
6135-5723
6135-4255
4914-2099
4914-6280
4914-7448
112399-7157
112399-3065
112399-5034
64963-351
64963-7157
64963-7284
64963-10016
64963-1915
10980-7157
10980-333
10980-2161
10980-4193
10980-1915
10980-79184
10980-7402
200728-5034
200728-79184
200728-2923
9343-2335
9343-1191
9343-7157
9343-4193
9343-6647
9343-2023
9343-2099
9343-3728
9343-1915
9343-9759
9343-5723
9343-4255
9343-2923
25776-3507
25776-1191
25776-388697
25776-3728
25776-9759
25776-7161
10992-2335
10992-6280
10992-7448
10992-3043
10992-1915
10992-4255
10992-7402
7157-7157
7157-4193
7157-2099
7157-6280
7157-142
7157-7161
7157-4255
7157-1191
7157-7157
7157-3630
7157-4193
7157-2099
7157-142
7157-6279
7157-3818
7157-3065
7157-7161
7157-55869
7157-4502
11335-2023
11335-6280
11335-142
11335-7448
11335-3065
11335-9759
11335-6278
11335-79184
11335-55869
11335-5723
8517-1191
8517-GO:0045944
8517-2099
8517-1915
8517-12
4627-2335
4627-7157
4627-7284
4627-2934
4627-2099
4627-722
4627-3728
4627-7448
4627-3818
4627-55869
4627-5723
86-7157
86-GO:0045944
86-10016
86-3849
86-2099
86-722
86-7448
86-3065
86-5052
86-7161
86-3853
86-3053
5987-351
3320-1191
3320-733
3320-GO:0045944
3320-2099
3320-1915
C0011581-1191
C0011581-2
C0011581-3630
C0011581-4193
C0011581-334
3178-GO:0045944
5501-4504
5501-722
5501-725
351-351
351-2023
351-26330
6117-718
6117-1191
6117-7157
6117-GO:0045944
6117-2099
6117-142
6117-1915
6117-5052
6117-79184
6117-629
6117-4255
6117-1356
