,Name,Count
0,Community 2,18
1,Community 3,8
2,Community 4,14
3,Community 5,6
4,Community 6,5
5,Community 7,10
6,Community 8,27
7,Community 9,25
8,Community 10,11
9,Community 11,29
10,Community 12,19
11,Community 13,14
12,Community 14,16
13,Community 15,17
14,Community 16,18
15,Community 17,2
16,Community 18,33
17,Community 19,10
18,Community 20,3
19,Community 21,2
20,Community 22,3
21,Community 23,21
