nodes100/fostamatinib_coh100
6135-3320
6135-1956
6135-GO:0010628
6135-4914
6135-25
6135-GO:0008284
6135-2932
6135-5580
6135-23043
6135-2475
6135-GO:0050821
6135-2931
6135-6790
6135-5058
6135-5062
6135-817
6135-7048
6135-3932
4914-1956
4914-4914
4914-2932
4914-9212
4914-2931
4914-1459
4914-55781
4914-7048
112399-9212
112399-5562
112399-983
112399-GO:0050821
112399-2931
112399-2011
112399-2066
112399-6790
112399-9113
112399-6195
112399-3654
112399-8428
112399-4215
112399-5584
64963-4914
64963-351
64963-23043
64963-5170
64963-6790
64963-1969
10980-5747
10980-5587
10980-GO:0050821
10980-1459
10980-6790
200728-1956
200728-4914
200728-2064
200728-23043
200728-GO:0050821
200728-1969
200728-5156
200728-7048
200728-3654
200728-2260
9343-3320
9343-GO:0043066
9343-1956
9343-120892
9343-4914
9343-25
9343-6714
9343-9212
9343-983
9343-11200
9343-GO:0050821
9343-3551
9343-2931
9343-1459
9343-6790
9343-5062
9343-4751
9343-1612
9343-57118
9343-55781
9343-7048
9343-3654
9343-2260
9343-8428
9343-4215
9343-3932
9343-10188
25776-3320
25776-1956
25776-GO:0045892
25776-GO:0007165
25776-6714
25776-GO:0008284
25776-5347
25776-5562
25776-2475
25776-5587
25776-5565
25776-4915
25776-5585
25776-2011
25776-6790
25776-5062
25776-1969
25776-27347
25776-9113
25776-1111
25776-5156
25776-6195
25776-6850
25776-4215
25776-5584
10992-4914
10992-25
10992-2932
10992-5580
10992-5347
10992-11200
10992-2931
10992-1459
10992-5058
10992-5062
10992-5156
7157-GO:0018105
7157-4750
7157-GO:0045892
7157-25
7157-6714
7157-2932
7157-4067
7157-1432
7157-5580
7157-5347
7157-5562
7157-2475
7157-983
7157-11200
7157-5566
7157-GO:0050821
7157-5565
7157-8536
7157-2931
7157-1459
7157-6790
7157-5058
7157-1612
7157-1111
7157-817
7157-6195
7157-7048
7157-1263
7157-1019
715712-GO:0045893
715712-3320
715712-GO:0000122
715712-GO:0045892
715712-GO:0010628
715712-25
715712-GO:0008284
715712-GO:0006974
715712-5347
715712-5747
715712-5562
715712-2475
715712-11200
715712-GO:0050821
715712-1459
715712-6790
715712-1969
715712-1111
715712-55781
11335-1956
11335-GO:0045892
11335-6714
11335-4067
11335-1432
11335-9212
11335-5747
11335-11200
11335-8536
11335-5585
11335-2066
11335-6790
11335-817
11335-6850
8517-GO:0045944
8517-3320
8517-6714
8517-2932
8517-11200
8517-3551
8517-4915
8517-1459
8517-6790
8517-9475
8517-2043
8517-1612
8517-1111
8517-6195
8517-3055
8517-4215
4627-GO:0043066
4627-120892
4627-GO:0008284
4627-4067
4627-1432
4627-440275
4627-2534
4627-23043
4627-2011
4627-6790
4627-5062
4627-4751
4627-1612
4627-27347
4627-9113
4627-4215
4627-10188
86-GO:0045944
86-GO:0045893
86-3320
86-GO:0043066
86-GO:0000122
86-GO:0045892
86-GO:0006974
86-4067
86-2475
86-5170
86-GO:0050821
86-5585
86-1459
86-6790
86-1969
86-GO:0051091
86-817
86-10188
5987-351
5987-5585
3320-GO:0006468
3320-GO:0046777
3320-GO:0035556
3320-GO:0045944
3320-3320
3320-GO:0043066
3320-GO:0018105
3320-1956
3320-GO:0010628
3320-GO:0007165
3320-GO:0001934
3320-25
3320-6714
3320-GO:0008284
3320-GO:0018107
3320-GO:0051092
3320-2932
3320-1432
3320-5347
3320-2475
3320-5170
3320-659
3320-3551
3320-5585
3320-2931
3320-5058
3320-5062
3320-2043
3320-4751
3320-9113
3320-GO:0051091
3320-1111
3320-4215
C0011581-GO:0045893
C0011581-GO:0043066
C0011581-GO:0010628
C0011581-6714
C0011581-GO:0008284
C0011581-4067
C0011581-5580
C0011581-2534
C0011581-3717
C0011581-GO:0051091
3178-GO:0045944
3178-GO:0043066
3178-GO:0010628
5501-GO:0016310
5501-440275
351-351
351-5585
351-5058
6117-GO:0045944
6117-GO:0045893
6117-GO:0043066
6117-GO:0018105
6117-1956
6117-4750
6117-25
6117-GO:0006974
6117-4067
6117-2534
6117-5347
6117-983
6117-11200
6117-5565
6117-2011
6117-1459
6117-6790
6117-2043
6117-1111
6117-1019
6117-5584
