nodes100/L_glutamic_acid_mod100
3265-6505
3265-GO:0008283
3265-3191
3265-1956
64963-5188
64963-27165
64963-55191
64963-57120
64963-GO:0032543
64963-5245
64963-1956
4343-79751
4343-1956
4343-GO:0006508
9401-6506
9401-2058
9401-3191
9401-5245
9401-1956
4914-440
4914-5198
4914-51557
4914-1155
4914-GO:0008283
4914-5245
4914-1956
2100-586
2100-5245
2100-1956
5578-2902
5578-2904
5578-2911
5578-2906
5578-1956
3191-586
3191-3191
25776-10157
25776-GO:0008283
25776-57120
25776-1742
25776-3191
25776-1956
C0033578-GO:0045944
C0033578-57120
C0033578-1956
7157-6506
7157-2918
7157-2911
7157-1956
3329-2902
3329-2917
3329-2906
3329-55191
3329-29968
3329-83733
3329-GO:0015813
3329-5245
3329-1956
3065-79751
3065-2746
3065-2346
3065-23549
3065-5245
6118-23549
6118-2875
6118-6640
6118-GO:0045944
6118-1956
6118-GO:0045893
10992-5245
10992-1956
125115-57120
7514-2747
7514-6898
7514-440
7514-23549
7514-1956
C0014544-6898
C0014544-1956
C0011581-2028
C0011581-2752
C0011581-23549
C0011581-1956
6598-586
6598-GO:0045944
6598-GO:0045893
