nodes100/L_glutamic_acid_coh100
C0036572-6898
C0036572-2752
C0036572-10157
6135-6506
6135-2058
6135-3191
6135-5245
6135-1956
4914-5245
4914-1956
112399-2746
64963-5188
64963-27165
64963-57120
64963-GO:0032543
64963-5245
10980-GO:0008283
200728-5245
200728-1956
9343-2917
9343-29968
9343-5245
9343-1956
25776-2902
25776-10157
25776-GO:0008283
25776-57120
25776-1742
25776-3191
25776-1956
10992-5245
7157-2058
7157-147923
715712-2747
715712-27165
715712-6512
715712-23549
715712-8833
715712-GO:0045893
11335-79751
11335-2746
11335-23549
11335-5245
11335-1956
8517-2058
8517-586
8517-GO:0045944
8517-5245
4627-29968
4627-1155
86-GO:0045944
86-GO:0045893
5987-57120
3320-2058
3320-GO:0008283
3320-GO:0045944
3320-1742
3320-1956
C0011581-147923
C0011581-GO:0045893
3178-GO:0045944
3178-3191
5501-5198
5501-GO:0032543
5501-GO:0070681
5501-GO:0006508
351-GO:0015813
351-GO:0098712
351-57120
351-3191
6117-2875
6117-GO:0008283
6117-6640
6117-GO:0045944
6117-1956
6117-GO:0045893
