,Name,Count
0,Community 1,1
1,Community 2,13
2,Community 3,9
3,Community 4,6
4,Community 5,2
5,Community 6,8
6,Community 7,4
7,Community 8,14
8,Community 9,16
9,Community 10,15
10,Community 11,20
11,Community 12,19
12,Community 13,18
13,Community 14,14
14,Community 15,14
15,Community 16,20
16,Community 17,6
17,Community 18,5
18,Community 19,11
19,Community 20,1
20,Community 21,4
21,Community 22,3
22,Community 23,14
