nodes,L-glutamic acid
2902,0.003908463544253543
2898,0.003861938606810226
2806,0.003803202228187131
6505,0.003790595981456802
2891,0.003769984365565626
79751,0.003731384834129344
2805,0.003730032186611235
2903,0.003687625124308713
124454,0.0036824677898668304
6507,0.003671087547989585
2747,0.0034638308923627863
2746,0.003463768749802932
6506,0.0034462096618350668
GO:0097553,0.003383753551669194
2744,0.003342955745269478
GO:0045471,0.003322039452866668
2895,0.003298149066537362
6898,0.0032812520672360684
2356,0.0032465654507757274
2917,0.0032449529268172217
