nodelist,diff_AML,fostamatinib,lasofoxifene,zinc,L-glutamic acid,protein_product_fost,protein_product_laso,protein_product_zinc,protein_product_glut
90,7.302881618374574e-05,0.0007494523707061235,5.2591819237853146e-05,5.4517836160923446e-05,4.3405781892204643e-05,5.473161941876997e-08,3.840718299889961e-09,3.981373035731645e-09,3.1698728671175726e-09
5371,0.00014724443896900116,8.358480091730819e-05,6.620557582428499e-05,7.864676969558253e-05,0.00013599151909118485,1.2307397117404699e-08,9.74840286886651e-09,1.1580299480550292e-08,2.0023994933123724e-08
6774,0.0017939475878891373,0.0002363830847974196,0.00019848619385120242,8.953353378743004e-05,6.292914625251858e-05,4.240588647901243e-07,3.560738286886603e-07,1.6061846697315069e-07,1.1289159012762845e-07
375,1.853276440441625e-05,1.7838428426750867e-05,1.1212172346806757e-05,1.5133357315792432e-05,2.0425994422298838e-05,3.3059539137801545e-10,2.0779254856508048e-10,2.8046294578143026e-10,3.785501423543848e-10
226,2.8367928513744415e-05,3.449587017291328e-05,2.357878679083603e-05,0.0016549434046245737,8.46100447629691e-05,9.785763790846121e-10,6.688813381232575e-10,4.69473161966827e-08,2.400211701380623e-09
351,0.0007862927178194767,0.0010264857349305862,0.000705002171659848,0.0024105999661742992,0.0006337516478031948,8.071182583214935e-07,5.543380736230552e-07,1.8954371989787283e-06,4.983143055737458e-07
333,2.333072771267107e-05,1.8651218846164377e-05,1.3568199850500425e-05,0.0020329826890634105,1.528388002748269e-05,4.3514650840930015e-10,3.165559762631297e-10,4.743096556311226e-08,3.5658404331433025e-10
4547,8.157544747893495e-06,6.691934823167669e-06,4.6308032672319344e-06,2.0796623985128286e-05,6.556594661672949e-06,5.4589757769977006e-11,3.7775984871135904e-11,1.6964939076379914e-10,5.3485714346396695e-11
1436,0.0015380193267975654,0.0006583898941257389,1.3332209953115881e-05,3.5026356216626596e-05,2.2061485226353832e-05,1.0126163817335895e-06,2.0505196576815087e-08,5.387121280846776e-08,3.3930990655991156e-08
153,1.351224076011988e-05,1.0102232529056298e-05,6.0504644424213975e-06,8.034127406711937e-06,1.908830420603266e-05,1.3650379814732345e-10,8.175533225654241e-11,1.0855906381696926e-10,2.579257621343222e-10
2668,0.000106961501171991,6.993534454958525e-05,4.4527966051237096e-05,0.0001297768953388498,0.00013437214663678717,7.480389438004057e-09,4.762778092975772e-09,1.3881131542883737e-08,1.4372646519973656e-08
775,3.2619333726122435e-05,2.766335795843851e-05,0.0001644420782334371,4.660593105161459e-05,3.504383804717248e-05,9.023603052314908e-10,5.363991028513619e-09,1.5202544185892685e-09,1.1431066483049059e-09
3708,1.5082607939420402e-05,2.1026334416245023e-05,1.337565069742379e-05,1.6340705159713366e-05,2.7619509476820538e-05,3.1713195840336566e-10,2.017396954038781e-10,2.4646044937762076e-10,4.1657423291799047e-10
767,5.479419745071739e-06,4.9482846023405e-06,3.120956630685612e-06,6.428284582933124e-05,3.2589590714972515e-06,2.7113728354298993e-11,1.710103138569131e-11,3.522326947066401e-10,1.78572046847427e-11
