nodes,L-glutamic acid
2902,0.003908463544253543
2898,0.003861938606810226
2806,0.003803202228187131
6505,0.003790595981456802
2891,0.003769984365565626
79751,0.003731384834129344
2805,0.003730032186611235
2903,0.003687625124308713
124454,0.0036824677898668304
6507,0.003671087547989585
2747,0.0034638308923627863
2746,0.003463768749802932
6506,0.0034462096618350668
GO:0097553,0.003383753551669194
2744,0.003342955745269478
GO:0045471,0.003322039452866668
2895,0.003298149066537362
6898,0.0032812520672360684
2356,0.0032465654507757274
2917,0.0032449529268172217
2904,0.0032267937954157827
2899,0.003225471027674555
5832,0.0032216500309288345
84706,0.0031928205486950537
2918,0.0031920889609682703
2914,0.003177876836493672
2058,0.003117986600058155
51166,0.0031128849261684455
5188,0.003109674630849755
2729,0.003074291878620819
2901,0.003055506692854416
2730,0.0030440104453045356
2911,0.0030057468953244766
2906,0.0029963606803691976
440,0.0029912638065347666
2905,0.0029764063548722683
2346,0.0029743750543833446
116443,0.0029691385251794183
2890,0.002963751291723064
2571,0.002923005189160141
2028,0.0028861706130544405
26873,0.00288216677839961
2752,0.002874918441535765
2892,0.0028704397142652665
162417,0.0028572535630174557
2572,0.002852093288707113
2893,0.0028492923420300616
27165,0.0028377333574137334
5198,0.0028335378981796983
6512,0.0028327677648849847
55191,0.0028204093990642004
23549,0.002819307805191019
116444,0.0028144009492336174
10841,0.0028123186740661747
2900,0.002811892848605053
56267,0.002810525807486803
586,0.002809487346897698
23657,0.002808537017437001
29968,0.0028047846266596563
83733,0.0028034713605486093
51557,0.0027986979795565393
587,0.0027972210814895685
18,0.0027928927236568935
2897,0.0027908071211653488
8833,0.0027890414114600096
10157,0.0027881789247730855
2894,0.002785933719567485
2677,0.002785578495041935
2875,0.002781676969292281
6511,0.0027807977631225445
GO:0015813,0.0027709021110786367
GO:0006536,0.0025834591987027415
GO:0006533,0.002482120528451475
1155,0.002399527906200643
GO:0007196,0.0020598446409441575
GO:0098712,0.0018768124005640874
GO:0008283,0.0017615529195301384
GO:0006103,0.0015880234596746185
6640,0.0015052327093995441
GO:0006537,0.0014908606931238742
55116,0.0013540286610056382
GO:0045944,0.0013415799994742324
57120,0.0012595903129712833
GO:0035235,0.0012586015109556819
GO:0009636,0.0012313631757992502
GO:0032543,0.0012267089906097932
147923,0.0012048701708603671
1742,0.0011380289263340179
5877,0.001136041296541251
GO:0070127,0.0011053556331219296
3191,0.0010872060397138683
GO:0007216,0.0010445141263040415
GO:0007193,0.0010431672876065597
GO:0006538,0.0010331197381350389
GO:0070681,0.0010138925535971728
5245,0.00100178156272125
1956,0.0010009170648561875
GO:0006424,0.0009364288045031144
GO:0045893,0.0008835811111062591
GO:0006508,0.0008420060390338013
GO:0043066,0.0008409672520941269
GO:0007215,0.0008117489328583333
GO:0045892,0.0008100468084289839
GO:0000122,0.0007931713743058007
GO:0008150,0.0007892838054857413
GO:0070779,0.0007814614889391335
2316,0.0007631083840670428
GO:0017148,0.0007546407644172337
GO:0042851,0.0007247646748125301
GO:0042391,0.0007233383682060001
GO:0007186,0.0006991970466864424
GO:0000187,0.0006877093614630823
GO:0098703,0.0006827640460410483
GO:0051209,0.0006815671312759146
GO:0000381,0.0006786934406530672
GO:0035609,0.0006748386933387361
GO:1903955,0.0006676642305710206
GO:0006418,0.0006448945423379775
112399,0.0006433368505943936
351,0.0006337516478031948
GO:0071361,0.0006309840635622962
