nodelist,protein_product_zinc,
3676,1.53E-08,
55832,1.53E-08,
7430,1.51E-08,
25793,1.51E-08,
4188,1.50E-08,
2621,1.50E-08,
6118,1.49E-08,
3458,1.49E-08,
472,1.48E-08,
5054,1.47E-08,
5987,1.47E-08,
10399,1.46E-08,
1108,1.45E-08,
7917,1.45E-08,
26270,1.45E-08,
5595,1.44E-08,
3858,1.43E-08,
324,1.43E-08,
4830,1.42E-08,
11040,1.42E-08,
5594,1.42E-08,
983,1.42E-08,
3553,1.42E-08,
7014,1.41E-08,
4005,1.41E-08,
165918,1.40E-08,
4893,1.40E-08,
25913,1.40E-08,
2668,1.39E-08,
3965,1.39E-08,
6352,1.38E-08,
3868,1.38E-08,
113,1.38E-08,
5914,1.37E-08,
3418,1.36E-08,
5347,1.36E-08,
2776,1.35E-08,
9820,1.35E-08,
367,1.35E-08,
4291,1.35E-08,
26330,1.35E-08,
11338,1.34E-08,
5566,1.34E-08,
3075,1.34E-08,
1385,1.34E-08,
10634,1.33E-08,
2078,1.32E-08,
6659,1.32E-08,
23636,1.31E-08,
714,1.31E-08,
5265,1.31E-08,
8202,1.31E-08,
6464,1.30E-08,
9314,1.28E-08,
6426,1.28E-08,
2266,1.28E-08,
1398,1.26E-08,
1654,1.26E-08,
197,1.26E-08,
7334,1.26E-08,
387,1.26E-08,
2322,1.25E-08,
56257,1.25E-08,
650,1.25E-08,
10594,1.24E-08,
375790,1.24E-08,
1508,1.23E-08,
28984,1.22E-08,
27161,1.22E-08,
23363,1.22E-08,
6117,1.21E-08,
1025,1.21E-08,
9611,1.21E-08,
4087,1.20E-08,
2801,1.20E-08,
5781,1.20E-08,
5879,1.20E-08,
4089,1.20E-08,
4057,1.19E-08,
5925,1.18E-08,
307,1.17E-08,
3190,1.16E-08,
27185,1.16E-08,
117159,1.16E-08,
5371,1.16E-08,
10413,1.16E-08,
8091,1.16E-08,
7013,1.16E-08,
57154,1.15E-08,
708,1.15E-08,
6919,1.14E-08,
8737,1.14E-08,
2013,1.14E-08,
6722,1.14E-08,
2740,1.14E-08,
821,1.14E-08,
6154,1.13E-08,
29979,1.13E-08,
7431,1.13E-08,
5663,1.12E-08,
4599,1.11E-08,
64794,1.11E-08,
5501,1.11E-08,
2597,1.11E-08,
8833,1.10E-08,
1655,1.10E-08,
23365,1.09E-08,
822,1.09E-08,
329,1.07E-08,
2475,1.06E-08,
10859,1.05E-08,
715,1.05E-08,
10980,1.05E-08,
7874,1.04E-08,
7531,1.04E-08,
3611,1.04E-08,
4502,1.04E-08,
2547,1.03E-08,
28960,1.03E-08,
1649,1.02E-08,
55252,1.01E-08,
8453,1.01E-08,
6591,1.00E-08,
6657,1.00E-08,
9531,1.00E-08,
713,9.79E-09,
959,9.77E-09,
5806,9.75E-09,
7474,9.75E-09,
9612,9.74E-09,
10542,9.73E-09,
3916,9.71E-09,
9040,9.70E-09,
3512,9.69E-09,
54386,9.67E-09,
12,9.66E-09,
2091,9.63E-09,
4026,9.61E-09,
801,9.54E-09,
26003,9.50E-09,
51741,9.49E-09,
93649,9.48E-09,
25865,9.47E-09,
5295,9.46E-09,
6598,9.39E-09,
7314,9.36E-09,
3053,9.36E-09,
154,9.32E-09,
3066,9.29E-09,
1642,9.26E-09,
50943,9.23E-09,
8945,9.21E-09,
720,9.20E-09,
334,9.19E-09,
1981,9.11E-09,
675,9.08E-09,
5290,9.08E-09,
5335,9.08E-09,
3881,9.06E-09,
4627,9.02E-09,
4067,9.00E-09,
3643,8.96E-09,
80149,8.96E-09,
83987,8.96E-09,
2120,8.90E-09,
4223,8.89E-09,
11269,8.89E-09,
5315,8.86E-09,
3297,8.85E-09,
5599,8.84E-09,
8542,8.83E-09,
6925,8.83E-09,
29978,8.83E-09,
659,8.82E-09,
1052,8.78E-09,
4792,8.78E-09,
10059,8.77E-09,
10211,8.64E-09,
79577,8.63E-09,
1457,8.55E-09,
10419,8.51E-09,
5005,8.50E-09,
1869,8.47E-09,
9588,8.46E-09,
4066,8.34E-09,
1263,8.29E-09,
27086,8.27E-09,
5590,8.23E-09,
23327,8.22E-09,
6037,8.20E-09,
4137,8.18E-09,
23512,8.17E-09,
5300,8.12E-09,
58508,8.09E-09,
3308,8.08E-09,
358,8.00E-09,
10155,7.96E-09,
3516,7.95E-09,
3181,7.92E-09,
7538,7.92E-09,
1432,7.91E-09,
388677,7.89E-09,
7846,7.88E-09,
56339,7.86E-09,
4282,7.83E-09,
5777,7.79E-09,
10437,7.79E-09,
8473,7.78E-09,
1991,7.77E-09,
10971,7.73E-09,
10146,7.73E-09,
3791,7.71E-09,
9775,7.69E-09,
70,7.68E-09,
811,7.61E-09,
57721,7.60E-09,
386682,7.56E-09,
5538,7.53E-09,
3077,7.49E-09,
3688,7.46E-09,
9349,7.45E-09,
3698,7.44E-09,
10524,7.43E-09,
6597,7.43E-09,
2534,7.41E-09,
51176,7.34E-09,
3428,7.33E-09,
51035,7.33E-09,
26986,7.31E-09,
7114,7.28E-09,
6135,7.28E-09,
55741,7.28E-09,
27229,7.23E-09,
947,7.23E-09,
55072,7.21E-09,
1604,7.19E-09,
2244,7.17E-09,
6790,7.15E-09,
10856,7.13E-09,
5591,7.09E-09,
55740,7.09E-09,
3627,7.05E-09,
10014,7.05E-09,
8726,7.05E-09,
350,7.02E-09,
5296,7.01E-09,
731,7.01E-09,
999,6.99E-09,
23435,6.98E-09,
7494,6.95E-09,
81620,6.88E-09,
22933,6.83E-09,
57521,6.82E-09,
717,6.81E-09,
6780,6.77E-09,
830,6.74E-09,
153090,6.73E-09,
8626,6.71E-09,
6273,6.71E-09,
4851,6.70E-09,
90993,6.70E-09,
7337,6.66E-09,
55054,6.63E-09,
150,6.59E-09,
57142,6.58E-09,
3064,6.55E-09,
29108,6.53E-09,
26511,6.53E-09,
8417,6.52E-09,
5119,6.51E-09,
3569,6.49E-09,
8600,6.48E-09,
7529,6.45E-09,
841,6.44E-09,
7150,6.40E-09,
5460,6.39E-09,
7412,6.38E-09,
5111,6.30E-09,
1509,6.29E-09,
29079,6.27E-09,
1616,6.26E-09,
546,6.25E-09,
5684,6.22E-09,
3198,6.21E-09,
1601,6.20E-09,
5588,6.19E-09,
10492,6.16E-09,
9589,6.14E-09,
4926,6.10E-09,
7204,6.09E-09,
7046,6.09E-09,
9146,6.08E-09,
8841,6.08E-09,
5587,6.06E-09,
90850,6.06E-09,
3276,6.05E-09,
7704,6.05E-09,
407006,6.03E-09,
8065,6.03E-09,
1213,6.01E-09,
310,5.99E-09,
5515,5.99E-09,
4035,5.99E-09,
5830,5.96E-09,
7020,5.91E-09,
9353,5.91E-09,
2185,5.90E-09,
331,5.86E-09,
10075,5.86E-09,
8826,5.84E-09,
9967,5.84E-09,
2353,5.83E-09,
7486,5.83E-09,
79001,5.82E-09,
51763,5.80E-09,
135295,5.79E-09,
6929,5.76E-09,
7086,5.74E-09,
84659,5.70E-09,
10576,5.68E-09,
149041,5.67E-09,
6733,5.67E-09,
149628,5.67E-09,
2332,5.67E-09,
4041,5.67E-09,
7205,5.66E-09,
27339,5.64E-09,
200728,5.64E-09,
3480,5.64E-09,
22976,5.62E-09,
3273,5.62E-09,
23468,5.61E-09,
11051,5.60E-09,
4771,5.58E-09,
710,5.57E-09,
7341,5.53E-09,
177,5.53E-09,
975,5.53E-09,
5936,5.51E-09,
83734,5.50E-09,
10653,5.48E-09,
8792,5.48E-09,
3028,5.47E-09,
8428,5.45E-09,
54542,5.44E-09,
4221,5.43E-09,
5888,5.40E-09,
5921,5.39E-09,
1378,5.35E-09,
1487,5.31E-09,
11124,5.30E-09,
1410,5.28E-09,
3304,5.28E-09,
5723,5.27E-09,
5770,5.26E-09,
1906,5.25E-09,
23291,5.25E-09,
23281,5.24E-09,
7053,5.21E-09,
3685,5.21E-09,
7067,5.17E-09,
6606,5.17E-09,
3838,5.17E-09,
3593,5.14E-09,
57520,5.14E-09,
2810,5.13E-09,
7128,5.12E-09,
81609,5.11E-09,
648,5.08E-09,
10521,5.08E-09,
580,5.07E-09,
8829,5.06E-09,
27183,5.06E-09,
6653,5.05E-09,
5584,5.05E-09,
5045,5.04E-09,
4904,5.03E-09,
2908,5.03E-09,
9978,5.01E-09,
185,5.01E-09,
54361,5.01E-09,
920,5.00E-09,
6366,5.00E-09,
7083,4.93E-09,
9830,4.92E-09,
598,4.92E-09,
3689,4.91E-09,
5499,4.90E-09,
1514,4.90E-09,
3932,4.89E-09,
9733,4.89E-09,
7015,4.88E-09,
3240,4.88E-09,
2770,4.88E-09,
1029,4.87E-09,
5195,4.87E-09,
56893,4.85E-09,
7026,4.85E-09,
3184,4.85E-09,
354,4.84E-09,
5603,4.84E-09,
2247,4.84E-09,
2113,4.82E-09,
3952,4.82E-09,
6737,4.82E-09,
9525,4.80E-09,
7879,4.80E-09,
4478,4.79E-09,
3608,4.78E-09,
11091,4.78E-09,
3624,4.78E-09,
3054,4.77E-09,
1012,4.76E-09,
891,4.74E-09,
10513,4.72E-09,
5978,4.71E-09,
836,4.70E-09,
5579,4.69E-09,
25942,4.69E-09,
8697,4.66E-09,
7321,4.66E-09,
8878,4.65E-09,
64127,4.65E-09,
4773,4.61E-09,
8976,4.61E-09,
2081,4.61E-09,
55737,4.58E-09,
5359,4.57E-09,
6119,4.56E-09,
7416,4.56E-09,
4131,4.56E-09,
9657,4.55E-09,
112609,4.54E-09,
1001,4.54E-09,
55633,4.52E-09,
1475,4.51E-09,
483,4.51E-09,
6434,4.51E-09,
6615,4.50E-09,
22943,4.50E-09,
57506,4.49E-09,
7295,4.48E-09,
9240,4.48E-09,
4686,4.47E-09,
1893,4.47E-09,
8766,4.46E-09,
345,4.46E-09,
629,4.46E-09,
3205,4.45E-09,
5858,4.45E-09,
3958,4.45E-09,
11331,4.45E-09,
11335,4.44E-09,
6470,4.44E-09,
3690,4.42E-09,
7291,4.42E-09,
57665,4.42E-09,
10533,4.42E-09,
4831,4.40E-09,
1019,4.40E-09,
4670,4.40E-09,
3164,4.40E-09,
29072,4.39E-09,
9218,4.38E-09,
6125,4.37E-09,
4691,4.36E-09,
6014,4.34E-09,
11043,4.34E-09,
5567,4.33E-09,
1738,4.32E-09,
58480,4.31E-09,
10010,4.30E-09,
80854,4.30E-09,
1356,4.29E-09,
3483,4.28E-09,
9647,4.28E-09,
5430,4.28E-09,
5901,4.27E-09,
4582,4.27E-09,
6646,4.25E-09,
572,4.25E-09,
3486,4.24E-09,
10243,4.24E-09,
641,4.22E-09,
1173,4.19E-09,
6431,4.19E-09,
1281,4.19E-09,
5885,4.18E-09,
7533,4.18E-09,
3183,4.16E-09,
4908,4.16E-09,
8772,4.14E-09,
2805,4.13E-09,
1,4.08E-09,
6093,4.07E-09,
386675,4.07E-09,
8451,4.05E-09,
6418,4.05E-09,
677,4.02E-09,
51377,4.02E-09,
9641,4.00E-09,
90,3.98E-09,
2065,3.97E-09,
3609,3.97E-09,
1476,3.95E-09,
10318,3.94E-09,
2625,3.93E-09,
566,3.90E-09,
51738,3.90E-09,
7520,3.89E-09,
9294,3.89E-09,
7248,3.89E-09,
3416,3.89E-09,
2521,3.88E-09,
3638,3.88E-09,
54880,3.88E-09,
863,3.87E-09,
3133,3.87E-09,
4653,3.87E-09,
5976,3.87E-09,
7273,3.86E-09,
5582,3.85E-09,
9126,3.84E-09,
3500,3.84E-09,
1396,3.84E-09,
85451,3.84E-09,
3551,3.84E-09,
3313,3.83E-09,
1452,3.82E-09,
6421,3.81E-09,
6201,3.81E-09,
5788,3.79E-09,
87178,3.79E-09,
7036,3.77E-09,
10342,3.77E-09,
6934,3.77E-09,
7158,3.74E-09,
128866,3.73E-09,
6497,3.73E-09,
10452,3.73E-09,
3169,3.72E-09,
6950,3.71E-09,
5093,3.70E-09,
972,3.70E-09,
4287,3.69E-09,
84447,3.67E-09,
8028,3.66E-09,
23462,3.65E-09,
64083,3.65E-09,
875,3.65E-09,
23400,3.65E-09,
26054,3.64E-09,
7251,3.64E-09,
25836,3.64E-09,
3172,3.64E-09,
30011,3.63E-09,
4040,3.63E-09,
2192,3.62E-09,
9636,3.62E-09,
5725,3.61E-09,
7919,3.60E-09,
3488,3.60E-09,
6203,3.60E-09,
10459,3.59E-09,
1969,3.59E-09,
2742,3.57E-09,
4214,3.57E-09,
65992,3.57E-09,
1363,3.56E-09,
567,3.56E-09,
655,3.55E-09,
92140,3.55E-09,
7421,3.54E-09,
7185,3.54E-09,
7515,3.53E-09,
9097,3.53E-09,
1147,3.50E-09,
4751,3.50E-09,
5495,3.50E-09,
51083,3.47E-09,
26191,3.45E-09,
23450,3.45E-09,
948,3.43E-09,
6189,3.43E-09,
23390,3.41E-09,
6194,3.41E-09,
5156,3.40E-09,
3925,3.40E-09,
5058,3.40E-09,
7277,3.39E-09,
64395,3.39E-09,
5318,3.39E-09,
808,3.38E-09,
11235,3.38E-09,
5962,3.38E-09,
6449,3.37E-09,
1027,3.36E-09,
7023,3.35E-09,
4134,3.35E-09,
9869,3.35E-09,
6386,3.35E-09,
6477,3.34E-09,
7010,3.34E-09,
4824,3.34E-09,
3106,3.34E-09,
7323,3.33E-09,
10015,3.32E-09,
6348,3.31E-09,
5583,3.31E-09,
2160,3.30E-09,
59343,3.29E-09,
84464,3.29E-09,
7025,3.28E-09,
2769,3.28E-09,
5581,3.28E-09,
604,3.28E-09,
9656,3.27E-09,
595,3.27E-09,
847,3.27E-09,
6672,3.27E-09,
732,3.26E-09,
9971,3.25E-09,
1743,3.25E-09,
1639,3.25E-09,
27429,3.24E-09,
58,3.24E-09,
10575,3.24E-09,
6721,3.23E-09,
30968,3.23E-09,
468,3.23E-09,
7132,3.23E-09,
7322,3.23E-09,
3249,3.23E-09,
84708,3.22E-09,
2822,3.22E-09,
26123,3.22E-09,
55660,3.21E-09,
4092,3.21E-09,
6794,3.20E-09,
6885,3.19E-09,
55183,3.19E-09,
4856,3.18E-09,
1511,3.18E-09,
5201,3.18E-09,
255738,3.16E-09,
6613,3.16E-09,
11140,3.16E-09,
23451,3.15E-09,
5598,3.15E-09,
5345,3.15E-09,
56246,3.14E-09,
407040,3.14E-09,
8481,3.14E-09,
4311,3.13E-09,
6927,3.13E-09,
6500,3.11E-09,
57120,3.11E-09,
3929,3.10E-09,
973,3.10E-09,
57805,3.09E-09,
5868,3.08E-09,
356,3.08E-09,
6208,3.07E-09,
7414,3.07E-09,
4747,3.06E-09,
406947,3.06E-09,
26277,3.05E-09,
6138,3.05E-09,
2710,3.04E-09,
9564,3.04E-09,
23586,3.04E-09,
2648,3.03E-09,
65125,3.03E-09,
1861,3.03E-09,
4017,3.03E-09,
7112,3.02E-09,
4208,3.02E-09,
10507,3.02E-09,
65061,3.01E-09,
5824,3.00E-09,
4170,3.00E-09,
29997,3.00E-09,
10769,3.00E-09,
8644,2.99E-09,
2305,2.99E-09,
10456,2.99E-09,
4846,2.99E-09,
19,2.98E-09,
10253,2.98E-09,
7324,2.97E-09,
8243,2.96E-09,
4841,2.95E-09,
1369,2.95E-09,
7153,2.95E-09,
6997,2.93E-09,
81,2.93E-09,
8678,2.92E-09,
7476,2.91E-09,
6191,2.90E-09,
10574,2.90E-09,
8557,2.89E-09,
208,2.89E-09,
51366,2.89E-09,
54908,2.88E-09,
6262,2.88E-09,
8850,2.88E-09,
9984,2.87E-09,
1894,2.86E-09,
5621,2.86E-09,
81552,2.86E-09,
10397,2.86E-09,
1856,2.85E-09,
88,2.85E-09,
87,2.85E-09,
26121,2.84E-09,
6095,2.84E-09,
79594,2.84E-09,
9555,2.84E-09,
1605,2.84E-09,
7080,2.83E-09,
908,2.83E-09,
2060,2.83E-09,
54765,2.82E-09,
1277,2.82E-09,
5329,2.82E-09,
64750,2.81E-09,
341,2.81E-09,
4174,2.81E-09,
51474,2.81E-09,
23043,2.80E-09,
5727,2.80E-09,
83737,2.80E-09,
3187,2.79E-09,
10921,2.79E-09,
1051,2.79E-09,
1958,2.79E-09,
5267,2.78E-09,
5568,2.78E-09,
8312,2.78E-09,
3675,2.78E-09,
5796,2.78E-09,
3636,2.77E-09,
3875,2.76E-09,
10291,2.76E-09,
386681,2.76E-09,
5792,2.75E-09,
6272,2.75E-09,
54984,2.74E-09,
9646,2.73E-09,
8607,2.72E-09,
664,2.70E-09,
373,2.70E-09,
5159,2.70E-09,
735,2.69E-09,
10131,2.69E-09,
6711,2.69E-09,
1460,2.69E-09,
6202,2.68E-09,
5196,2.68E-09,
1072,2.68E-09,
3301,2.68E-09,
945,2.68E-09,
4155,2.68E-09,
4215,2.67E-09,
6128,2.66E-09,
7048,2.66E-09,
94,2.66E-09,
5160,2.65E-09,
1663,2.65E-09,
89780,2.64E-09,
1520,2.64E-09,
5861,2.63E-09,
10956,2.63E-09,
8724,2.63E-09,
10193,2.63E-09,
54106,2.62E-09,
7043,2.62E-09,
3872,2.60E-09,
3055,2.60E-09,
83732,2.59E-09,
805,2.58E-09,
6035,2.58E-09,
339390,2.57E-09,
347,2.57E-09,
1289,2.57E-09,
407007,2.57E-09,
6652,2.56E-09,
3843,2.56E-09,
26136,2.56E-09,
989,2.56E-09,
2260,2.56E-09,
55835,2.56E-09,
5929,2.55E-09,
6198,2.54E-09,
6383,2.53E-09,
10427,2.53E-09,
9475,2.53E-09,
2149,2.53E-09,
5928,2.52E-09,
2539,2.52E-09,
10134,2.52E-09,
9025,2.52E-09,
27243,2.52E-09,
5609,2.51E-09,
5518,2.51E-09,
4780,2.51E-09,
3699,2.50E-09,
7052,2.50E-09,
578,2.49E-09,
2931,2.49E-09,
406951,2.48E-09,
3654,2.48E-09,
9070,2.48E-09,
55366,2.47E-09,
3251,2.47E-09,
26354,2.47E-09,
721,2.47E-09,
406950,2.47E-09,
10772,2.46E-09,
8924,2.46E-09,
80279,2.46E-09,
10642,2.46E-09,
5500,2.46E-09,
6829,2.45E-09,
9662,2.45E-09,
54904,2.45E-09,
6868,2.45E-09,
6233,2.45E-09,
7088,2.44E-09,
8623,2.44E-09,
1062,2.44E-09,
4738,2.44E-09,
11030,2.43E-09,
23332,2.43E-09,
8896,2.43E-09,
79139,2.42E-09,
29761,2.42E-09,
2495,2.41E-09,
8717,2.41E-09,
26040,2.41E-09,
22919,2.41E-09,
81848,2.41E-09,
91662,2.39E-09,
4116,2.39E-09,
386676,2.38E-09,
5154,2.38E-09,
9252,2.38E-09,
495,2.37E-09,
63948,2.37E-09,
6256,2.37E-09,
7203,2.36E-09,
3163,2.36E-09,
7471,2.36E-09,
9928,2.35E-09,
10454,2.35E-09,
11052,2.35E-09,
5705,2.35E-09,
8915,2.35E-09,
6129,2.35E-09,
5230,2.34E-09,
38,2.34E-09,
55170,2.34E-09,
1609,2.34E-09,
9973,2.34E-09,
22890,2.33E-09,
2661,2.33E-09,
81792,2.33E-09,
23476,2.33E-09,
112398,2.33E-09,
168667,2.32E-09,
4217,2.32E-09,
859,2.32E-09,
7332,2.32E-09,
51100,2.32E-09,
56888,2.32E-09,
23557,2.32E-09,
284161,2.31E-09,
823,2.31E-09,
345611,2.31E-09,
8648,2.30E-09,
131870,2.30E-09,
687,2.30E-09,
997,2.30E-09,
6648,2.30E-09,
9368,2.29E-09,
10464,2.29E-09,
5270,2.29E-09,
79923,2.29E-09,
89885,2.28E-09,
4313,2.27E-09,
7319,2.27E-09,
445,2.27E-09,
55791,2.27E-09,
9217,2.26E-09,
4204,2.26E-09,
10062,2.26E-09,
64220,2.26E-09,
60468,2.26E-09,
2246,2.26E-09,
9113,2.25E-09,
3434,2.25E-09,
7024,2.25E-09,
9094,2.24E-09,
5601,2.24E-09,
10912,2.23E-09,
51720,2.23E-09,
9451,2.22E-09,
5966,2.22E-09,
54507,2.22E-09,
2041,2.21E-09,
6662,2.21E-09,
10935,2.20E-09,
6732,2.20E-09,
7466,2.19E-09,
1785,2.19E-09,
51548,2.19E-09,
5062,2.19E-09,
6908,2.18E-09,
966,2.17E-09,
23603,2.17E-09,
2629,2.16E-09,
10630,2.16E-09,
5108,2.16E-09,
3162,2.15E-09,
9693,2.14E-09,
55704,2.13E-09,
3592,2.12E-09,
3981,2.12E-09,
84445,2.12E-09,
27316,2.11E-09,
6389,2.11E-09,
6839,2.10E-09,
65057,2.10E-09,
9112,2.10E-09,
10992,2.09E-09,
170506,2.09E-09,
5328,2.09E-09,
6456,2.08E-09,
5478,2.07E-09,
7320,2.07E-09,
23122,2.06E-09,
2162,2.06E-09,
10282,2.06E-09,
5311,2.06E-09,
3846,2.05E-09,
4646,2.05E-09,
9688,2.05E-09,
6548,2.05E-09,
2066,2.04E-09,
4838,2.03E-09,
3976,2.02E-09,
2688,2.02E-09,
1386,2.02E-09,
2324,2.02E-09,
10694,2.02E-09,
10284,2.02E-09,
93974,2.02E-09,
7074,2.01E-09,
6059,2.01E-09,
24148,2.01E-09,
1739,2.01E-09,
9212,2.00E-09,
2010,2.00E-09,
6407,2.00E-09,
6317,1.99E-09,
55626,1.99E-09,
55662,1.99E-09,
8563,1.98E-09,
834,1.98E-09,
7311,1.98E-09,
10189,1.97E-09,
112,1.96E-09,
7009,1.96E-09,
5795,1.96E-09,
55829,1.96E-09,
10657,1.95E-09,
6193,1.95E-09,
54550,1.95E-09,
5903,1.95E-09,
164,1.95E-09,
1111,1.94E-09,
405,1.94E-09,
27338,1.94E-09,
5341,1.94E-09,
1786,1.93E-09,
57119,1.93E-09,
716,1.93E-09,
55093,1.92E-09,
5327,1.92E-09,
