drugs,proximity
DB12010,0.2867329390237907
DB01593,0.1878581113648801
DB00852,0.17170728846421143
DB06616,0.14436305477312886
DB02709,0.13908249140283943
DB01254,0.13695366490723393
DB01268,0.1357170500563968
DB00755,0.13461826463843535
DB06202,0.133704256789108
DB00675,0.12705645804444168
DB08896,0.12466024944065257
DB00459,0.12364901620611246
DB08901,0.12311000307715801
DB00945,0.12232075479327405
DB00957,0.12220847867901509
DB00255,0.12210458510279253
DB00823,0.12020418974240947
DB00304,0.12020418974240947
DB00603,0.12020418974240947
DB01393,0.11945012820310885
DB06803,0.11918621632903732
DB00398,0.11743972070699872
DB00619,0.11628277123346487
DB00162,0.1156402184434944
DB11619,0.11539234773552222
DB00142,0.11505097185224207
DB00834,0.11354114528163635
DB05015,0.11302341811251043
DB06603,0.11302341811251043
DB01406,0.11148696660510492
DB09371,0.11024596015751613
DB01248,0.11018004346993095
DB06589,0.10985883028922436
DB01229,0.10937570481480624
DB08867,0.10896550574903609
DB00396,0.10877956635469588
DB00412,0.10872199387180628
DB00136,0.10717494615053788
chlormadinone-acetate,0.10683909993686579
DB00717,0.10683909993686579
DB00378,0.10683909993686579
DB05294,0.10675304761342835
DB02546,0.10660536170130575
DB01431,0.10644443200136848
DB08604,0.10473798564894579
DB00764,0.10415406468499294
megestrol-acetate,0.10415406468499294
DB00351,0.10415406468499294
DB09123,0.10366534396689257
DB01169,0.1032126123945496
DB06176,0.102531152812339
DB09079,0.10191937363744821
DB00367,0.10183355170880896
DB13954,0.10153150070550274
DB00131,0.10097942028099273
DB00783,0.10077196679968659
DB00114,0.10015029701092541
DB06401,0.09995830395967906
DB00947,0.09995830395967906
estropipate,0.09995830395967906
DB04938,0.09995830395967906
DB06756,0.09755318906521707
DB12243,0.09755318906521707
DB11581,0.09755318906521707
DB01708,0.09726232635291149
DB00977,0.09710034309863848
DB00277,0.09670131089932889
DB00648,0.09664920484992055
DB06713,0.09664714250539222
DB00157,0.09615231251998052
DB00307,0.09560722663648819
DB00201,0.09558138403757246
DB00421,0.09519883263766572
thiram,0.09497800772064088
DB01395,0.09454381282838002
DB00523,0.09213449900266699
DB09389,0.09114165143598582
DB05521,0.0909263672446982
DB01196,0.09092325485250297
DB04272,0.09056539869140455
DB00588,0.09024425910683517
DB00481,0.09014131275074622
DB00031,0.08987834656071807
DB01394,0.08967140936064796
DB01026,0.08947339071118826
DB11363,0.08849842054566795
DB00210,0.08794031049955253
DB00655,0.08792345050361884
DB00143,0.08731027216224484
DB00570,0.08699109332161915
DB00361,0.08681508331625239
DB00799,0.08660249907881236
DB00188,0.08648978193983672
DB01620,0.08597100884337644
DB00737,0.08597100884337644
DB01109,0.08580857502708078
DB00126,0.08548948085856618
DB00313,0.0844071163208685
DB04868,0.08439051598349642
DB09078,0.08420308132028945
DB09401,0.0839036345988996
DB08875,0.08315078598454687
DB01108,0.08217946160651697
DB00836,0.08127776095828654
DB08818,0.08125558000295212
DB01185,0.08087002216687564
DB04845,0.08071862165262161
DB01179,0.08055904830112093
DB01039,0.08040016393791483
DB00541,0.07999982467599055
DB01050,0.07997056201192715
arsenic-trioxide,0.0796080111807359
DB13873,0.07950328433719958
DB01296,0.07934046299805246
DB08871,0.07836622833370764
DB05676,0.07821505878024516
DB01183,0.07808247100499612
DB00321,0.07800789046602825
DB00132,0.07797163673049673
DB06710,0.07712756550743666
DB00806,0.07661188845365373
DB00139,0.07636042061350287
DB01427,0.0752321086774666
DB01367,0.07496967457833868
DB11817,0.07475755704171397
DB01136,0.07457251199459244
DB00898,0.07444468739631004
DB01025,0.07415719966868795
DB00975,0.07304414560102024
DB00366,0.07264865001056726
DB01088,0.07236952432667404
DB05266,0.07193638303886783
DB00334,0.07188495220471766
DB01065,0.07125684879662332
DB09221,0.07119415257595117
DB08889,0.07086129948878225
DB00470,0.07077741931185293
DB00643,0.07060468021641625
DB08895,0.0703236870215368
DB08877,0.0703236870215368
DB00477,0.07026127804835386
DB04216,0.07018997310606433
DB00624,0.07003461748321237
DB13943,0.07003461748321237
hyaluronic-acid,0.0698709343789673
DB00309,0.06946531631498833
DB00363,0.06944664845813231
DB01234,0.06926550773434076
DB01110,0.06912396472363108
DB13345,0.06898018666725862
DB01049,0.06898018666725861
DB00514,0.06894095657688762
DB09283,0.06880525082908164
DB01592,0.0686202667487879
DB09213,0.06843172698982046
DB00145,0.06794143104794209
DB01064,0.06792895829007409
DB00408,0.06764112355667234
DB04575,0.0671166378887501
DB00286,0.0671166378887501
DB09070,0.0671166378887501
DB01357,0.0671166378887501
DB00543,0.06690071827617837
DB09006,0.06687192914461121
DB03017,0.06659517078036409
DB00540,0.06648873403182352
DB00030,0.06643515020440252
DB01078,0.06623841037697627
DB00163,0.06601568563089052
DB09089,0.06597534257880269
DB00499,0.06590123696797169
DB06151,0.06585622493262053
DB00025,0.06583739851503326
DB13999,0.06583739851503326
DB09091,0.0656791410964035
DB02659,0.06548667401891682
DB00909,0.0653136795005563
DB00920,0.06527875381804663
DB01224,0.06457425614631875
DB00996,0.06456651893914045
DB06216,0.06449305043529581
DB00328,0.06435571406329625
DB00071,0.06434192432372234
DB00246,0.0643010668221835
DB00227,0.0640540917154163
DB00824,0.0639995861828424
DB01656,0.06392572347877572
DB09273,0.0639235259342239
DB11273,0.06390608667798807
DB00370,0.06384595087052662
DB01132,0.06359570677023356
DB01412,0.06354841862382701
DB01238,0.06351356875337438
DB00159,0.06316980810068787
DB00121,0.06296642116873631
DB06148,0.06276992500670166
DB00170,0.06226397314941174
DB00726,0.062179431512110875
