drugs,proximity
DB12010,0.023352005657004023
DB01593,0.026247626380971403
DB00142,0.03278337977683419
DB00157,0.035658049467520575
DB00114,0.03573138743995899
DB00898,0.04018572784236445
DB00334,0.04032168007472629
DB00143,0.041150068746732854
DB00543,0.04159662450464073
DB00201,0.04214140791732826
DB00321,0.04257730071844957
DB00555,0.043103651380781816
DB05294,0.04325337942384587
DB02709,0.043300643184200176
DB01254,0.04341047972967008
DB00909,0.04394013195843956
DB00996,0.04458609321057224
DB00408,0.04477868130357898
DB04272,0.04482917097829515
DB00363,0.04512397620415678
DB00421,0.04529804776363614
DB00145,0.04556313039123642
DB00477,0.04565660196391744
DB13345,0.046314475375683374
DB01049,0.046314475375683374
DB00139,0.04669431219466293
DB06616,0.046916891557681625
DB00273,0.04698822483969397
DB01224,0.0473004123204091
DB09089,0.04739037791714333
DB00246,0.047634002493990774
DB00755,0.047745573450375924
DB01708,0.04775305586547955
DB00852,0.04783885179957382
DB00126,0.04798251693409909
DB00458,0.047987254149711604
DB00540,0.04836349464611544
DB00162,0.0483884298848189
DB01238,0.048441398862122044
DB08896,0.04858632100376901
DB00806,0.048709097030689916
DB00726,0.04928299897189107
DB06148,0.04955606865975357
DB00661,0.049773167674867766
DB00188,0.050096084763855075
DB00945,0.05014513462986106
DB01142,0.05019120416372374
DB00230,0.05021707858339487
DB08872,0.05021707858339487
DB11273,0.050276951878603454
DB00675,0.05035190663519724
DB00514,0.05040725957972162
DB00370,0.05041119198507711
DB00975,0.050541217107693895
DB00313,0.050866041211120226
DB06216,0.051137336846454155
DB00277,0.0515177511797455
DB01151,0.05198412053377754
DB01136,0.052076067521793855
DB02659,0.052095951034975774
DB00128,0.05328771168189758
DB00794,0.05330066935477326
DB00248,0.05346501748985626
DB01394,0.05369670390294229
DB01392,0.05374211321528412
DB01267,0.05406450460344894
DB00734,0.05437521161515929
DB00312,0.054481936761275905
DB01200,0.05457202839345243
DB01403,0.054701157423448006
DB04855,0.0548240878862039
DB08901,0.054850140313763
DB00131,0.05505383607226116
DB00361,0.05538499477276967
DB08889,0.05550462080922837
DB09304,0.055789437608374084
DB09283,0.055933813100008625
DB00696,0.0565493938198454
DB01023,0.05657964542339434
DB00589,0.0567052603433332
DB04845,0.05706158612960646
DB01592,0.05712225149127722
DB09225,0.057589629759982074
DB01186,0.05760467414775004
DB00934,0.05760716568657767
DB06637,0.05790233597793673
DB00568,0.05792704858847488
DB00622,0.05792898443814787
DB01115,0.0580418185091027
DB00396,0.05851704369104669
DB00182,0.058631366167514645
DB09079,0.05870421983318146
DB08818,0.05872770435953539
DB00071,0.05886725287570121
DB01110,0.05892454042297835
DB00129,0.05896392952453977
DB00398,0.05974338031884698
DB09167,0.05980734731661945
DB00502,0.059889558091636895
DB09462,0.059971999951070415
DB00659,0.06004724885994666
DB00228,0.06005280225839811
DB06153,0.06012397210595697
DB00170,0.06015506759775481
DB00714,0.06051209059657601
DB00674,0.06059929051690126
DB01088,0.06070177691519153
DB00075,0.06074298144403218
DB00420,0.06075470213311104
DB00030,0.06081334691608606
spiperone,0.061240564964834585
DB00119,0.06146103645320866
DB06589,0.0616265463161053
DB08839,0.061721299977466414
DB03017,0.06173428700171068
DB13999,0.061770746393053244
DB00025,0.061770746393053244
DB00454,0.061913745613586986
DB00413,0.06250272318417274
DB00268,0.06250272318417274
DB00594,0.06256074152976528
DB01169,0.06256627088626256
DB00151,0.06261324938686691
DB05015,0.06262442701062224
DB06603,0.06262442701062224
DB00777,0.06265430513156643
DB09286,0.06305351067752445
DB00831,0.06323747228687623
DB01109,0.06326364951925914
DB00988,0.0633101468652369
DB01244,0.06344214550435834
DB00241,0.06352579714683716
DB00054,0.06382003774303724
DB00031,0.0638328110653102
DB00005,0.06387165339754847
DB01065,0.06422614838739285
DB04216,0.06430254345411707
DB01100,0.06461142931157149
DB06176,0.06461272749853582
DB04946,0.06493160954896196
DB00418,0.06503807715828626
DB00237,0.06520165311071913
DB00306,0.06520165311071914
DB00463,0.06529698311135729
DB01268,0.06534181427197398
DB06151,0.06536195608455081
DB01956,0.06545732417339839
DB00825,0.06575917907013619
DB00055,0.06593303391091854
DB00829,0.06612800971800699
DB00668,0.06637748233612795
DB00072,0.06639391262797745
DB00159,0.06648528992331697
DB00740,0.06659927335868415
DB00242,0.06660910789846161
DB00783,0.06668760161879685
DB01239,0.06669102848000712
DB01069,0.06710623792839254
DB00121,0.06734554268557615
DB11994,0.06739947228837724
DB00013,0.06753786409602146
DB00132,0.06775784856974403
DB00368,0.0678276160980525
DB00393,0.0678284994983587
DB00381,0.06786986830145056
DB01016,0.0681782258534719
DB00818,0.06831743849445816
DB01595,0.0683296889384773
DB00108,0.06838383474515251
DB00583,0.0683927492995277
DB02546,0.06872396057000155
DB05541,0.06906732558260703
DB00623,0.06916118917491208
DB00795,0.06936200527406462
DB11582,0.06937775316246127
DB00091,0.06951240202320484
DB01229,0.0696327609217518
DB01064,0.06965429516162759
DB01068,0.06978064368237355
DB13954,0.0698734299867221
DB01174,0.06989677227245983
DB00002,0.06990622981982245
DB00056,0.06997250569372597
DB00051,0.07000604742610926
DB09118,0.07054233567042936
DB00328,0.07060072735598072
DB00073,0.0709539854846755
DB00078,0.0709539854846755
DB00586,0.07111259655799665
DB00281,0.07114127348969107
DB01181,0.07115982617132986
DB09229,0.07131028122912744
DB00231,0.07133655112437766
DB00683,0.07133655112437766
DB00897,0.07133655112437766
DB01588,0.07133655112437766
DB00842,0.07133655112437766
DB01558,0.07133655112437766
DB00690,0.07133655112437766
