nodes,lasofoxifene
2099,0.06634518053309783
2100,0.06571090573854758
1269,0.06541376690336663
2769,0.026481870261057583
GO:0007204,0.014649053370561277
GO:0000122,0.01079336253829805
GO:0045893,0.010543379775243654
GO:0051091,0.00991180430421537
GO:0045944,0.004230884202606985
GO:0006366,0.003069155377392505
GO:0051480,0.00264260078927444
GO:0071392,0.0021279485154668564
GO:0010524,0.0019244882703730024
GO:0010629,0.0018507323207995023
GO:0060402,0.0018436423105859722
GO:0043433,0.0018307244152939856
GO:0051482,0.0017843558690093068
GO:0045899,0.0017608568013586438
GO:0045892,0.0017555296286081389
GO:1903799,0.001745155882227652
GO:0043627,0.0016336581834979925
GO:0030520,0.0016200486054481337
GO:0032355,0.0015979145073545887
GO:0043124,0.001586901412309858
GO:0071168,0.001574903987305754
GO:0051092,0.0014233644673753388
GO:0006357,0.0013945007942381329
GO:2000825,0.0013242428275087735
GO:0006351,0.0012590946225393587
GO:0032793,0.0011922608002386354
GO:0006355,0.0011714914879709618
GO:0010628,0.0008388338427503707
GO:0051090,0.0007402870339478062
351,0.000705002171659848
GO:0071391,0.000647969390169792
GO:0048518,0.000640036073076711
GO:0008150,0.0005908310520276821
GO:0044093,0.0005862377074104045
7157,0.0005670502126891962
9611,0.0005613474244978437
GO:0006874,0.0005277511013710457
GO:0006468,0.0005245608983951173
GO:0045943,0.0005009611129949829
GO:0031936,0.0004943069033955109
GO:0032786,0.0004918254955995596
GO:0060261,0.00048411767368367325
GO:0045945,0.00047411744427505357
GO:2000144,0.000470541583190738
GO:0051481,0.00046911097175903485
GO:0034244,0.0004679412544749855
GO:0060633,0.000465206963861534
11315,0.0004634782142786927
GO:1903508,0.0004615067802871792
GO:0008284,0.0004609307296571258
6872,0.00046050157309980593
GO:0045991,0.00045980461995531974
GO:0060566,0.00045942432849283585
9612,0.0004547629171759175
GO:1902894,0.0004404751798064399
GO:0007072,0.0004400900486636047
3312,0.0004343805197247564
GO:0000398,0.0004320867594186547
GO:1903758,0.00042435537776013346
GO:0007253,0.000420478056136849
GO:0072365,0.0004200594035154642
GO:0050896,0.00041909676734929824
GO:0016567,0.00041168363769548483
GO:1905665,0.0004101430571671544
GO:0072368,0.00040505262002496197
GO:0051281,0.0003991136027299223
7040,0.00039868696776584726
GO:0072362,0.0003933000634048934
GO:0032968,0.0003926497276097544
5578,0.00039146774736656447
GO:0010768,0.00039140017041174307
GO:0043066,0.0003911154367447512
4088,0.00039063705422455816
GO:0030518,0.00038976586817236276
5580,0.0003867357819551958
GO:0097201,0.0003806254877457694
185,0.00037480073605804443
GO:0006974,0.0003740808074886024
2235,0.0003726385471011645
7706,0.0003700282876752202
6262,0.00036629983128184734
796,0.0003652064847118554
10513,0.0003617065949998931
154,0.000359932821971993
5584,0.0003559646824481678
5590,0.0003540840724318804
