nodes,AMLinlaso_diff
GO:0045944,0.004230884202606985
GO:0045893,0.010543379775243654
GO:0045892,0.0017555296286081389
GO:0000122,0.01079336253829805
4609,0.0002545689612109652
864,1.6425726780797494e-05
6774,0.00019848619385120242
3417,6.1361267606952e-06
302,8.111680016516063e-05
2623,7.915894898348854e-05
4869,0.00016031828921065933
6688,4.590489985039958e-05
11168,4.2607845247822154e-05
2624,4.8464041955668854e-05
3845,7.831020781404149e-05
64324,5.0490263031129076e-05
2672,2.2488364903908968e-05
3315,7.623461855340078e-05
10919,5.760662454136918e-05
861,3.729328090996531e-05
