nodes,zinc
1369,0.0031926889712341013
2335,0.002751227460039142
335,0.002684294916968294
718,0.002583609721342239
3507,0.0025776166865919413
351,0.0024105999661742992
1191,0.002234738059829821
727,0.0022128501062259986
7157,0.0021324263599457505
731,0.0020869813563354654
GO:0006956,0.0020452807347594525
2,0.0020387345417986406
333,0.0020329826890634105
348,0.001990312034116098
3827,0.001978353330582125
GO:0018149,0.00195949068828023
733,0.0019363898559326474
732,0.0019291704369573187
GO:0045944,0.0018998574695117654
388697,0.001898723823765719
3075,0.0018874973424640956
3630,0.0018822975636419409
2161,0.0018687454786214016
7284,0.0018542795784353954
10016,0.0018522870054246176
4193,0.0018401620877486955
2147,0.00183867597338233
6647,0.0018327991555536704
2934,0.001819985450132077
2023,0.0018188623339847033
1370,0.0018180560698714031
336,0.0018143448504057771
3849,0.0018032633264799748
714,0.0017939214632875056
3493,0.001786178204054589
4318,0.0017763424598695216
7018,0.0017751465699981587
325,0.0017731762234507087
2099,0.001772698128491799
4504,0.001767537451144812
722,0.0017669650159526352
6280,0.001765266228591387
337,0.0017551503833242589
6406,0.001748878837467
2243,0.0017483626390221861
142,0.0017430386447100067
725,0.0017368507353437953
3848,0.001728626011785846
6279,0.0017193463449257677
715,0.0017188330738184669
183,0.0017170057245799292
1832,0.0017103292313319285
3728,0.0017094195737308777
7448,0.0017092685555786858
3043,0.0017053706383153343
1915,0.001704816064270173
197,0.0017037619425211994
5444,0.00170102088364487
3861,0.0017009226889133078
3512,0.0016968986528273845
3818,0.0016875621014505382
3065,0.001686048266535173
7276,0.001678145760985043
713,0.001672030363693767
5034,0.0016698148172593467
3858,0.0016683405330893688
9759,0.0016637828043281101
6278,0.0016600317560305897
3868,0.0016584383727995253
226,0.0016549434046245737
3040,0.001652125814284557
5052,0.0016485084829053823
5005,0.0016463061641748384
3857,0.0016435980500745413
6462,0.0016422060090799156
79184,0.001636462641039108
8542,0.0016353912872429277
7161,0.0016333930611663802
55869,0.0016309307477512542
5265,0.001624030965173879
5723,0.0016219047920756225
12,0.0016208453186703244
26330,0.0016190078156269423
1,0.0016175231236177498
716,0.001615009949883814
629,0.0016141620237276266
3852,0.001612041012596125
3853,0.0016099566012702158
3562,0.001608467644236884
4502,0.0016082053132643907
3698,0.001607423582840811
4255,0.0016068969139954046
100293534,0.0016054865087123144
7402,0.0016049327264539767
2923,0.0016043378399168853
5858,0.0016017132094548016
3053,0.001601399295988171
3426,0.001599137130955721
1356,0.001597838096715556
334,0.0015976234040771331
3250,0.0015961113378047621
4830,0.0015944360464535375
6273,0.0015937839416585325
5267,0.0015934342110385418
10572,0.0015923089946471732
4350,0.0015892483639429662
7167,0.0015846040801582276
9973,0.0015839516719026625
117159,0.0015807509253119312
3699,0.0015807140076813861
3483,0.0015789123012233896
443,0.0015787820707124408
866,0.0015764564396901438
2165,0.0015745551433301128
623,0.0015743477081195723
4489,0.001573086390577719
3697,0.0015706351056220325
3700,0.0015689481262096546
6414,0.0015666635517870974
GO:0000122,0.0012372544138606544
717,0.0012348577319610547
GO:0043163,0.0012150160990308306
GO:0045893,0.0011789168711093718
GO:0045892,0.0010840064026447762
GO:0019731,0.0010318482008131466
GO:0097191,0.0009883205717311032
GO:0001954,0.0009629996796197847
GO:0001869,0.0009624979226075922
GO:0043066,0.0009620519252103705
GO:0006464,0.0008676805459027513
GO:0045087,0.0008637090289302385
GO:0045959,0.0008464823173892184
GO:0045104,0.0008410254051996308
GO:0043542,0.0008402564181532068
GO:0045732,0.0008243291173846536
1956,0.0008225112297295116
GO:0006414,0.0007788122160534572
GO:0031638,0.000758256114110053
GO:0071364,0.0007548891654303801
GO:0035690,0.000748965342743026
GO:0006563,0.0006974299281172478
GO:0016567,0.0006754735391354157
GO:0008284,0.0006599776605065748
GO:0042744,0.0006395141885116391
GO:0010628,0.0006145676266400874
GO:0106072,0.0006065028820822591
GO:0071874,0.0005740526332330492
GO:0006974,0.0005716087301148368
GO:0045109,0.0005629899541787966
GO:0008150,0.0005484496774163998
213,0.0005409009398701298
GO:0006468,0.0005367987442169994
GO:0003094,0.0005338386257910934
GO:0031639,0.0005294757669304902
GO:0042633,0.0005234261128688113
GO:0007568,0.0005095365318344892
85302,0.0005078250517448603
GO:0060267,0.0005064359622001617
959,0.0004979660072279796
GO:0006355,0.0004956216472530689
2885,0.0004950957148696903
GO:2000427,0.0004940257231904828
GO:0031647,0.0004934370126613214
284161,0.0004906267805695918
GO:0006366,0.000489402922591704
GO:0051091,0.00048687918465203337
5747,0.00047355601563534526
GO:0001934,0.00047200717941352465
2100,0.0004719631474038974
GO:0045110,0.00045724317944846273
GO:0050829,0.00044991179257109024
GO:0051291,0.0004462709422732889
1080,0.00043983786328149934
GO:0009987,0.0004392459408803282
GO:0051919,0.0004357133041717323
GO:0002250,0.00043031210115978505
GO:0050821,0.00042899601941906
GO:0006508,0.0004281234841512121
GO:0006357,0.000421725289077451
GO:0061844,0.00042036356634021885
GO:0043388,0.00041203699907958486
GO:0008285,0.00040818697814163686
GO:0050679,0.0004069629183825837
GO:0070374,0.00040544399180163443
GO:0010575,0.00039562825637456586
GO:0030853,0.00039530012034721696
GO:0045650,0.0003939362391561511
GO:0000398,0.00038792347422758806
GO:0051894,0.0003870062677322572
GO:0050718,0.0003855597042138409
2266,0.0003848542190358676
7053,0.00038444515037197976
GO:0043065,0.0003829394505210728
GO:0043588,0.00037911385153688185
GO:0050766,0.0003758767018467636
2162,0.0003736932667412097
GO:0060271,0.0003725662588863505
7706,0.00036940722847713005
4609,0.00036921615046527507
GO:0045916,0.00036539135769775684
7124,0.00036500941615889214
GO:0030336,0.0003640280928343937
GO:0030101,0.0003625051868731857
710,0.00036072632610454464
GO:0048260,0.0003595324383671123
998,0.0003589427402410338
GO:0051092,0.00035692877253618873
GO:0010629,0.00035438974859054126
GO:0031640,0.00035394618531413313
GO:0050727,0.0003512190830052885
7040,0.00034857151170114716
GO:0000209,0.0003473178631984203
GO:0010942,0.00034518445111342597
GO:0006915,0.00033922848654383193
5806,0.0003361271926936002
GO:0001867,0.00033586919340873004
GO:2000781,0.0003341319845328407
4224,0.00033264503033678377
GO:0045861,0.00032856342141622085
GO:0000381,0.000324721048891409
GO:0007204,0.00032410874807835467
GO:0043123,0.00032361087709227386
973,0.0003198554567625367
GO:0030195,0.0003192079064340786
2776,0.00031526693035646664
GO:0006953,0.0003140034948113669
GO:0043161,0.00031279919059167493
2033,0.00031199239393017454
GO:0006914,0.0003116227588200433
3479,0.0003113323282044348
GO:0031397,0.0003108253414741628
GO:0016485,0.00031013672304107767
GO:0045229,0.00030985937985236517
GO:0006302,0.0003066316381839061
GO:0030216,0.00030633294429636656
GO:0007165,0.00030297679545524176
GO:0006351,0.0003008956424690292
7415,0.00029926156051424525
721,0.0002989745370871541
GO:0050716,0.0002896093893218985
5245,0.00028915161375550174
GO:0042542,0.0002885671064751934
GO:0010468,0.0002837450947384459
GO:0010760,0.00028322617057203087
GO:0030335,0.00028102585233399257
5597,0.0002805965096445627
7182,0.0002771127951391436
339390,0.00027656130906466756
1994,0.000276114103904031
GO:0008283,0.00027607362077961375
GO:1904469,0.00027599667243693
2740,0.00027524417527395226
GO:0090197,0.00027476732795381095
GO:0016579,0.00027465459253160233
GO:0042787,0.0002743025952243794
GO:0071456,0.00027368142268363414
GO:0006919,0.0002721475860443627
GO:0051259,0.0002717000123543441
GO:0030308,0.0002697106030339436
GO:0045740,0.0002690194182155579
GO:0042531,0.0002664418312032546
11315,0.00026537125501415864
GO:0045766,0.0002643475960349762
GO:0006565,0.0002643090184249249
672,0.0002633730896098942
GO:0033693,0.00026138653897653594
GO:0007162,0.00026020577849848866
354,0.00025961353300713844
9370,0.0002591398718004674
GO:0016477,0.0002571364493380231
GO:0001649,0.000257093561391253
4914,0.00025658846736275996
GO:0010756,0.0002557573381456769
GO:0007160,0.0002557089946039099
GO:0002181,0.0002556193568562389
8452,0.0002548941486242373
3191,0.00025388061884702576
GO:0030449,0.00025351147471821444
81609,0.0002529473550845675
GO:0051290,0.0002525416032650024
409,0.00025228264293422864
7316,0.00025201241656314295
GO:0002778,0.0002518143625468021
1378,0.00025111292470132593
6622,0.0002506418923778097
GO:0042742,0.0002499940398050047
GO:0010212,0.00024601490765104945
GO:0006461,0.00024395850216027987
GO:0070527,0.00024341644331713356
5340,0.00024331863837528597
GO:0050731,0.00024314049976231325
7057,0.00024299750007095126
GO:0034976,0.00024228012110851882
GO:0051289,0.00024155019856017646
GO:0045739,0.00023993246624045723
GO:0051260,0.00023992387750336304
55741,0.00023822449178297222
GO:0006281,0.0002377746601843089
GO:0010595,0.0002371176597680732
207,0.00023569694124139155
51343,0.00023523783397462705
GO:0098707,0.00023279309596273276
GO:0045727,0.00023240578341190504
GO:0042981,0.00023156015150677198
GO:0016043,0.00022949222136532072
GO:0035556,0.00022936413527083454
6047,0.00022934045434671476
GO:0007186,0.00022928530972425953
GO:0007166,0.00022913823457331277
GO:0000387,0.00022899658453012694
GO:0006412,0.0002283941754801512
GO:1903955,0.00022810459923914777
10987,0.00022752170607057967
652,0.00022748680490414073
GO:0031648,0.00022730142574886556
GO:0065008,0.0002266814853025928
4171,0.00022634733863506306
GO:0008360,0.00022592370773724262
GO:0031398,0.00022485488179333624
23411,0.00022209217020016818
678,0.00022096114007745754
408,0.00021958107021071146
GO:0045917,0.00021917466873942293
GO:0086091,0.00021894841087845719
GO:0071281,0.0002188760670002411
7042,0.00021823535532134843
712,0.00021744324360261852
3486,0.0002171949049787434
8450,0.00021683814996379243
GO:0032461,0.00021620050802788682
GO:0035162,0.00021440064365688965
GO:2001244,0.00021429206015555487
GO:0070536,0.00021410731745601154
GO:0043433,0.00021183725908839967
GO:0043152,0.00021149312634208262
63891,0.0002111093741717096
720,0.00021025890885608713
GO:0006955,0.0002101039729355687
GO:0086073,0.00020979176632932917
GO:0033554,0.00020965100318233912
GO:0098911,0.00020902011440338447
GO:0001938,0.00020893613966257941
9294,0.00020878804310198206
GO:0043044,0.00020860802810555507
GO:0060265,0.00020788120986841676
1893,0.0002078410440039195
GO:0051865,0.00020561063771197766
GO:0016525,0.00020542454061100041
GO:0050729,0.00020510503013367623
3500,0.00020407228274541038
6223,0.00020369031678582546
10653,0.00020358485180213619
GO:0072659,0.0002035424260796937
GO:1902476,0.00020331898328537808
10427,0.00020213541163776138
5970,0.00020209594352797885
3178,0.00020192302967029184
8976,0.00020040308882061285
GO:0010631,0.00020034907083638003
GO:0018401,0.00019958229986580096
9343,0.00019951339510261408
GO:0046777,0.00019911225018031997
2013,0.00019905457834162778
6472,0.00019896211141653115
6455,0.00019851244535528292
GO:0072425,0.00019811244064785687
GO:0006888,0.00019807758500331836
25,0.0001970411438314427
10551,0.00019680536853668317
5728,0.00019575785411309583
GO:0003093,0.00019573907737458054
GO:0035195,0.0001947006696174766
1540,0.00019436798546931233
1991,0.0001941474641258454
3312,0.00019359581247388
GO:0016311,0.0001934606365758613
GO:0051262,0.00019313585434715784
GO:0017148,0.00019207306329282054
GO:0007010,0.0001918153526037471
112399,0.0001915192442592177
GO:0006886,0.00019122688912337366
GO:0043280,0.00018988321133103653
4000,0.00018914230927456947
GO:0046597,0.00018876722779844024
3488,0.00018834030273906892
GO:0006406,0.0001871175146130784
7514,0.00018616421478323764
5170,0.0001861443341091953
GO:0032436,0.00018598854679280688
GO:0050896,0.00018563927908300264
10614,0.00018549438305179894
59343,0.00018543747505376214
GO:0032204,0.0001847952466746856
1604,0.00018477901610526208
GO:0071922,0.00018404211164444603
GO:0042127,0.00018399001969214427
2255,0.00018373859962705078
GO:0006470,0.0001836380561616861
GO:0044869,0.00018341058472151582
5232,0.00018257737806997163
1017,0.00018092322078503334
5290,0.00018075183684139497
GO:0042632,0.00018048035357013872
GO:0007062,0.00018006324547691874
GO:0007155,0.0001788866171131057
GO:0019730,0.00017886882890563404
GO:0000244,0.00017870550244404232
GO:0032092,0.00017837631817139586
GO:0030593,0.00017820774025830485
GO:0032501,0.00017772167302380502
406991,0.0001774358261877612
735,0.00017734285419663466
GO:0006511,0.0001773035824116243
GO:0019835,0.00017640165341517033
GO:0006996,0.0001755732021683272
79001,0.00017546775994717057
4088,0.000175317167416345
7532,0.00017490775762244175
GO:0098609,0.0001746608206753188
55011,0.00017448210130690706
120892,0.00017349389689059994
79155,0.0001730332197484763
6659,0.00017267165279578298
GO:0032502,0.0001725893095785338
8626,0.00017230909004810636
GO:0060052,0.0001721513252819178
64794,0.00017160188211831956
GO:0002775,0.00017156797362171338
GO:0001932,0.00017077856470517437
GO:0046598,0.0001697031017305538
GO:0071479,0.0001696759924076451
GO:0006338,0.00016894854857912975
GO:1900005,0.00016857130580558591
1026,0.00016814383104510287
GO:0032446,0.00016803528619445447
867,0.00016791404226707755
GO:0019538,0.00016774414579701747
GO:0016575,0.00016752651536930562
1361,0.00016691673640358665
5071,0.00016686313953112757
GO:0010165,0.0001667550098706691
GO:0018105,0.00016574476122114382
3146,0.00016504095444610622
80230,0.00016361889864829074
1499,0.0001628603330322393
2130,0.00016267588658102673
GO:0002523,0.00016258103865957692
8697,0.0001622135223420418
1107,0.0001621761467357948
GO:0006364,0.00016172677456016
28984,0.00016145898135610037
GO:0070301,0.00016143875895856892
GO:0070537,0.00016125550451643003
1660,0.00016118724239638974
6780,0.00016109200454622917
GO:0051099,0.00016076409045950234
GO:0033344,0.00016049943719667807
GO:0035987,0.0001603293916077324
7422,0.00015979294230888242
10594,0.00015926840468751452
11269,0.00015922960047686486
GO:0050789,0.00015914795416636295
GO:0097202,0.0001591238206920266
91703,0.00015904085689348395
3303,0.0001589771796059831
GO:0071848,0.00015887944950296917
3309,0.0001587302663802925
GO:0042730,0.0001580306178255762
GO:0070488,0.00015780638847823585
3320,0.00015755962643472824
2770,0.00015722616468624275
2150,0.00015678892308854106
GO:0048024,0.00015649414484149242
GO:0090090,0.0001562368439834847
6714,0.00015619732292279214
10618,0.00015616496330629924
51574,0.00015577123855904456
GO:0034644,0.00015566593868060152
GO:0051546,0.0001553503261679149
GO:0048025,0.00015515412439102841
5004,0.00015464861828211617
3265,0.0001542326375030479
10013,0.00015408502733965751
GO:0043154,0.00015403784407915595
GO:0042771,0.0001539845520469453
64215,0.0001538619745427847
GO:0000724,0.00015276233420429838
GO:0071158,0.00015259365736751643
GO:0045745,0.00015232442751994394
GO:0007346,0.00015216339187924067
GO:0033138,0.00015210348739295052
GO:0008152,0.0001520498132881585
581,0.00015196461330123942
GO:0043616,0.00015155161646288452
GO:0031424,0.00015131177658485285
GO:0010873,0.00015087080353811227
GO:0043410,0.00015072306782479798
