nodelist,protein_product_fost,
64750,5.27E-09,
6366,5.25E-09,
1027,5.25E-09,
8829,5.24E-09,
208,5.23E-09,
6934,5.22E-09,
3952,5.22E-09,
5962,5.20E-09,
1410,5.20E-09,
1029,5.20E-09,
55072,5.20E-09,
4582,5.19E-09,
975,5.18E-09,
10657,5.18E-09,
26524,5.17E-09,
7704,5.17E-09,
5966,5.13E-09,
598,5.11E-09,
84445,5.09E-09,
23435,5.08E-09,
27183,5.08E-09,
386681,5.08E-09,
8450,5.07E-09,
6500,5.06E-09,
5195,5.06E-09,
23387,5.06E-09,
5583,5.06E-09,
3685,5.05E-09,
345611,5.05E-09,
22976,5.04E-09,
140,5.02E-09,
648,5.02E-09,
7520,5.02E-09,
1108,5.02E-09,
9240,5.02E-09,
4841,5.01E-09,
5111,5.01E-09,
7128,5.00E-09,
5725,4.99E-09,
1051,4.97E-09,
6789,4.97E-09,
9775,4.96E-09,
11113,4.94E-09,
9525,4.94E-09,
23462,4.93E-09,
54106,4.92E-09,
5093,4.90E-09,
3205,4.90E-09,
6125,4.90E-09,
483,4.89E-09,
5795,4.89E-09,
7158,4.89E-09,
64083,4.88E-09,
595,4.88E-09,
9532,4.87E-09,
7185,4.87E-09,
9978,4.86E-09,
908,4.86E-09,
2048,4.86E-09,
10746,4.86E-09,
1856,4.86E-09,
9647,4.86E-09,
4904,4.85E-09,
11075,4.84E-09,
10521,4.79E-09,
55737,4.79E-09,
3925,4.79E-09,
3624,4.78E-09,
3006,4.78E-09,
51086,4.77E-09,
50618,4.77E-09,
87178,4.77E-09,
945,4.75E-09,
6737,4.73E-09,
5796,4.72E-09,
11051,4.72E-09,
28984,4.71E-09,
2769,4.71E-09,
94,4.67E-09,
23012,4.66E-09,
6672,4.66E-09,
9706,4.65E-09,
3276,4.65E-09,
6431,4.64E-09,
25942,4.62E-09,
57506,4.62E-09,
54658,4.61E-09,
8607,4.61E-09,
7414,4.59E-09,
8772,4.59E-09,
3667,4.58E-09,
3689,4.57E-09,
5888,4.56E-09,
4145,4.55E-09,
128866,4.54E-09,
29072,4.54E-09,
10000,4.54E-09,
3958,4.52E-09,
54507,4.52E-09,
51763,4.51E-09,
6477,4.50E-09,
4691,4.49E-09,
88,4.49E-09,
9733,4.49E-09,
9097,4.49E-09,
29079,4.48E-09,
8655,4.46E-09,
7075,4.45E-09,
177,4.44E-09,
7203,4.44E-09,
10016,4.44E-09,
3301,4.43E-09,
6653,4.41E-09,
3187,4.41E-09,
4040,4.41E-09,
5496,4.41E-09,
9830,4.41E-09,
2166,4.40E-09,
51100,4.37E-09,
11043,4.35E-09,
27429,4.35E-09,
2289,4.34E-09,
5568,4.34E-09,
1508,4.33E-09,
1022,4.31E-09,
2625,4.31E-09,
81792,4.30E-09,
2030,4.30E-09,
4686,4.28E-09,
8028,4.28E-09,
7161,4.28E-09,
1460,4.26E-09,
375790,4.26E-09,
5460,4.25E-09,
4670,4.25E-09,
6119,4.24E-09,
4311,4.22E-09,
2521,4.21E-09,
9662,4.20E-09,
7486,4.19E-09,
7020,4.17E-09,
4773,4.17E-09,
9958,4.16E-09,
10921,4.14E-09,
5518,4.14E-09,
920,4.10E-09,
7251,4.09E-09,
7273,4.08E-09,
56997,4.06E-09,
7153,4.06E-09,
4678,4.05E-09,
8481,4.04E-09,
3169,4.04E-09,
4780,4.02E-09,
6098,4.02E-09,
7289,4.01E-09,
51738,4.01E-09,
3357,4.00E-09,
29997,3.99E-09,
27148,3.99E-09,
5829,3.98E-09,
3846,3.97E-09,
7086,3.97E-09,
55660,3.96E-09,
7919,3.95E-09,
22858,3.94E-09,
91662,3.93E-09,
1609,3.92E-09,
183,3.92E-09,
4282,3.92E-09,
7465,3.92E-09,
6194,3.92E-09,
85451,3.91E-09,
948,3.91E-09,
9094,3.91E-09,
9971,3.89E-09,
6201,3.88E-09,
3028,3.87E-09,
6711,3.87E-09,
11331,3.86E-09,
7409,3.86E-09,
55704,3.85E-09,
8651,3.84E-09,
3690,3.83E-09,
415116,3.83E-09,
1448,3.82E-09,
4155,3.81E-09,
3645,3.81E-09,
9928,3.80E-09,
10507,3.80E-09,
10519,3.79E-09,
4824,3.79E-09,
9451,3.79E-09,
3608,3.77E-09,
972,3.75E-09,
5824,3.75E-09,
10574,3.75E-09,
4221,3.74E-09,
7879,3.74E-09,
7114,3.73E-09,
149041,3.73E-09,
9636,3.72E-09,
3593,3.72E-09,
6721,3.71E-09,
5727,3.71E-09,
54386,3.71E-09,
4593,3.70E-09,
6421,3.69E-09,
5978,3.68E-09,
10320,3.68E-09,
8312,3.68E-09,
2147,3.67E-09,
185,3.66E-09,
54542,3.65E-09,
7248,3.65E-09,
1948,3.64E-09,
57805,3.61E-09,
54880,3.60E-09,
6997,3.60E-09,
26054,3.59E-09,
4170,3.58E-09,
58,3.58E-09,
3702,3.57E-09,
6901,3.57E-09,
8453,3.56E-09,
2013,3.56E-09,
1739,3.55E-09,
2648,3.55E-09,
356,3.55E-09,
10513,3.54E-09,
5868,3.54E-09,
23450,3.54E-09,
9088,3.53E-09,
55662,3.51E-09,
87,3.49E-09,
23451,3.49E-09,
10494,3.48E-09,
10131,3.48E-09,
407040,3.48E-09,
7421,3.48E-09,
3183,3.48E-09,
7412,3.47E-09,
81,3.47E-09,
1435,3.46E-09,
4646,3.45E-09,
3077,3.45E-09,
3976,3.45E-09,
284,3.44E-09,
677,3.44E-09,
54443,3.43E-09,
22983,3.43E-09,
2010,3.43E-09,
6348,3.42E-09,
51366,3.41E-09,
5108,3.40E-09,
2629,3.40E-09,
8726,3.38E-09,
2246,3.38E-09,
3270,3.38E-09,
25776,3.36E-09,
26277,3.36E-09,
114609,3.35E-09,
79594,3.35E-09,
10694,3.35E-09,
23582,3.35E-09,
1062,3.34E-09,
8621,3.34E-09,
81631,3.34E-09,
155061,3.34E-09,
9217,3.32E-09,
7112,3.32E-09,
3638,3.32E-09,
1786,3.31E-09,
11284,3.29E-09,
81552,3.29E-09,
10728,3.29E-09,
1396,3.29E-09,
373,3.27E-09,
89780,3.25E-09,
6548,3.25E-09,
3059,3.23E-09,
9555,3.23E-09,
80279,3.23E-09,
6272,3.23E-09,
8503,3.22E-09,
5341,3.22E-09,
27316,3.22E-09,
5976,3.21E-09,
10243,3.19E-09,
26121,3.17E-09,
580,3.16E-09,
4204,3.16E-09,
8658,3.15E-09,
8850,3.15E-09,
23122,3.15E-09,
90678,3.15E-09,
859,3.14E-09,
6256,3.13E-09,
1605,3.13E-09,
10291,3.12E-09,
7471,3.12E-09,
3383,3.11E-09,
23586,3.11E-09,
830,3.11E-09,
7476,3.11E-09,
10772,3.11E-09,
51083,3.10E-09,
7023,3.10E-09,
51035,3.09E-09,
1894,3.09E-09,
657,3.09E-09,
6654,3.07E-09,
4218,3.07E-09,
5789,3.07E-09,
3661,3.06E-09,
9693,3.06E-09,
2244,3.04E-09,
1738,3.04E-09,
1173,3.04E-09,
3185,3.03E-09,
369,3.02E-09,
2305,3.02E-09,
10015,3.02E-09,
10006,3.02E-09,
5154,3.02E-09,
56924,3.01E-09,
54765,3.00E-09,
4287,2.99E-09,
8896,2.99E-09,
10783,2.99E-09,
164,2.98E-09,
6208,2.98E-09,
22948,2.98E-09,
8644,2.97E-09,
56893,2.97E-09,
29127,2.97E-09,
6777,2.96E-09,
56339,2.95E-09,
6449,2.94E-09,
9368,2.94E-09,
5138,2.93E-09,
7786,2.93E-09,
23603,2.92E-09,
9126,2.91E-09,
7416,2.91E-09,
7284,2.91E-09,
3162,2.91E-09,
23513,2.91E-09,
406947,2.90E-09,
399687,2.89E-09,
6233,2.89E-09,
6470,2.88E-09,
545,2.88E-09,
9869,2.86E-09,
8440,2.84E-09,
7322,2.84E-09,
7097,2.84E-09,
407007,2.83E-09,
25836,2.83E-09,
7323,2.83E-09,
5494,2.83E-09,
6886,2.83E-09,
10464,2.82E-09,
7283,2.82E-09,
3636,2.82E-09,
6662,2.82E-09,
3273,2.82E-09,
10282,2.81E-09,
9064,2.81E-09,
2539,2.81E-09,
8451,2.79E-09,
11124,2.78E-09,
331,2.78E-09,
1454,2.77E-09,
7448,2.77E-09,
2,2.76E-09,
9984,2.76E-09,
60468,2.76E-09,
11052,2.75E-09,
10342,2.74E-09,
26123,2.74E-09,
5167,2.74E-09,
4846,2.74E-09,
6793,2.74E-09,
4591,2.73E-09,
2735,2.72E-09,
6138,2.72E-09,
6651,2.72E-09,
5705,2.71E-09,
8065,2.71E-09,
8623,2.71E-09,
6262,2.70E-09,
7528,2.70E-09,
5861,2.70E-09,
23524,2.69E-09,
7515,2.68E-09,
7454,2.68E-09,
26585,2.68E-09,
26136,2.68E-09,
5048,2.67E-09,
10193,2.67E-09,
8994,2.65E-09,
5196,2.65E-09,
11035,2.65E-09,
6795,2.65E-09,
255738,2.65E-09,
24144,2.65E-09,
6189,2.64E-09,
3843,2.64E-09,
5045,2.64E-09,
1386,2.63E-09,
406951,2.62E-09,
7332,2.62E-09,
1936,2.62E-09,
55626,2.62E-09,
6383,2.62E-09,
83942,2.61E-09,
406950,2.61E-09,
64145,2.60E-09,
890,2.60E-09,
23557,2.60E-09,
10152,2.59E-09,
4856,2.59E-09,
3106,2.58E-09,
54861,2.58E-09,
8724,2.58E-09,
30968,2.58E-09,
26051,2.57E-09,
9270,2.57E-09,
92597,2.56E-09,
7466,2.56E-09,
1399,2.55E-09,
11091,2.55E-09,
11345,2.55E-09,
55183,2.53E-09,
23476,2.53E-09,
27102,2.53E-09,
664,2.53E-09,
65057,2.53E-09,
5621,2.52E-09,
84630,2.51E-09,
4017,2.51E-09,
9646,2.51E-09,
8996,2.50E-09,
29761,2.50E-09,
3572,2.49E-09,
2194,2.49E-09,
54904,2.49E-09,
8648,2.49E-09,
60491,2.48E-09,
91754,2.48E-09,
1785,2.48E-09,
997,2.48E-09,
79923,2.47E-09,
4654,2.46E-09,
5128,2.46E-09,
3416,2.46E-09,
56940,2.45E-09,
834,2.45E-09,
6129,2.44E-09,
493,2.44E-09,
10189,2.44E-09,
7099,2.43E-09,
57662,2.43E-09,
476,2.42E-09,
51776,2.42E-09,
1938,2.42E-09,
117178,2.41E-09,
10425,2.41E-09,
3456,2.41E-09,
201163,2.41E-09,
57665,2.40E-09,
57144,2.40E-09,
84464,2.39E-09,
10616,2.39E-09,
3251,2.39E-09,
9261,2.39E-09,
6059,2.39E-09,
11190,2.39E-09,
