nodes,lasoinAML_diff
2099,0.0006372437072750222
2100,0.0004516107638210276
1269,0.0014664915429854221
2769,0.0005285328972235995
GO:0007204,0.0004076913298214122
GO:0000122,0.00249337039314565
GO:0045893,0.002784592715888326
GO:0051091,0.00045296500910010316
GO:0045944,0.004865526273344611
GO:0006366,0.0008670904701761491
GO:0051480,0.00010822839797240825
GO:0071392,0.00010414989706162021
GO:0010524,6.343858050445075e-05
GO:0010629,0.00041159386999387254
GO:0060402,5.288498497429798e-05
GO:0043433,0.0005274125272869524
GO:0051482,0.00026858570073899705
GO:0045899,9.71627938501786e-05
GO:0045892,0.0027495746074245697
GO:1903799,0.00011516672174729786
