nodes,fostamatinib
GO:0006468,0.01063703092852587
GO:0046777,0.004946766764778503
GO:0035556,0.0026543786508000746
GO:0045944,0.0022563167715735997
GO:0018108,0.0017418762176098445
GO:0045893,0.001709233676793757
GO:0016310,0.001574909190597616
3320,0.0014906266557559425
GO:0043066,0.0014416113377316389
GO:0018105,0.001426623718521862
GO:0006464,0.0013311096218078659
GO:0000122,0.0013143412211001127
1956,0.0011874446994744278
GO:0043484,0.0011514727551455738
4750,0.0011172821812084105
GO:0045892,0.001093254749521711
GO:0010628,0.0010831840177344175
120892,0.0010766706187215484
4914,0.0010730908909286452
351,0.0010264857349305862
